Ministerio,Subsecretaria,Servicio,Pregunta,subpregunta,Respuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Indicadores Medidos con Posterioridad  2019,% de Denuncias Respondidas post 2019,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Indicadores Medidos con Posterioridad  2019,Promedio de Días de Demora en Responder una Consulta post 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Indicadores Medidos con Posterioridad  2019,Promedio de Días de Demora en Responder una Denuncia post 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Material legal específico ","Curso de Código de Ética ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de consulta,Correo electrónico,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de consulta,Funcionario encargado,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de consulta,Intranet,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de consulta,Oficina de Partes,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de consulta,Otro,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de consulta,Teléfono,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de denuncia,Correo electrónico,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de denuncia,Funcionario encargado,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de denuncia,Intranet,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de denuncia,"Oficina de Partes ",1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de denuncia,"Otro ",0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de canales de denuncia,Teléfono,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de capacitación de Códigos de Ética,Curso de Código de Ética,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de capacitación de Códigos de Ética,Grupo de discusión,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de capacitación de Códigos de Ética,Material legal específico,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de capacitación de Códigos de Ética,Otro,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de capacitación de Sistema de Integridad,"Grupo de discusión ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2018,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2020,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2018,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2020,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2018,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2020,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de Difusión de Estructura de Integridad,"Actividad específica ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de Difusión de Estructura de Integridad,"Estrategia / Programa de difusión ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de Difusión de Estructura de Integridad,"Otros ",9100
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de Difusión de Estructura de Integridad,"Vía página web o intranet del servicio ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Actividad específica ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Estrategia / Programa de difusión ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Otros ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Vía página web o intranet del servicio ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Actividad específica ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Estrategia / Programa de difusión ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Otros ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Vía página web o intranet del servicio ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión del Sistema de Integridad,"Actividad de difusión Sistema de Integridad 2018 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión del Sistema de Integridad,"Actividad de difusión Sistema de Integridad 2019 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión del Sistema de Integridad,"Actividad de difusión Sistema de Integridad 2020 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión del Sistema de Integridad,"Hito de lanzamiento Sistema de Integridad 2018 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión del Sistema de Integridad,"Hito de lanzamiento Sistema de Integridad 2019 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión del Sistema de Integridad,"Hito de lanzamiento Sistema de Integridad 2020 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión del Sistema de Integridad,"Programa de difusión Sistema de Integridad 2018 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión del Sistema de Integridad,"Programa de difusión Sistema de Integridad 2019 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de difusión del Sistema de Integridad,"Programa de difusión Sistema de Integridad 2020 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de consulta,Correo electrónico,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de consulta,Funcionario encargado,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de consulta,"Intranet ",0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de consulta,Oficina de Partes,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de consulta,Otro,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de consulta,Teléfono,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de denuncia,Archivo electrónico,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de denuncia,Drive institucional,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de denuncia,Otro,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de denuncia,Plataforma interna,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Medios de registro de denuncia,Registro en papel,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Registro Interno de Consulta,,Tiene Registro Interno de Consulta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Registro Interno de Denuncia,,No tiene registro interno de denuncia
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Resolución que designa Asesores Técnicos ",,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Resolución que designa Comité de Integridad ",,2018
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Resolución que designa Coordinador de Integridad ",,2018
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Consultas Respondidas 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias con Investigación Sumaria 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias con Sumario Administrativo 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias Desestimada 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias en Proceso 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias Respondidas 2019,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,Promedio de Días de Demora en Responder una Consulta 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,Promedio de Días de Demora en Responder una Denuncia 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Tiene Codigo de Etica,,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Usted conoce el Código de Ética de su institución,a.Si conoce el Código de Ética,No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Usted conoce el Código de Ética de su institución,b.No conoce el Código de Ética,No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Usted conoce el Código de Ética de su institución,c.No tiene conocimiento de este instrumento,No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Usted conoce el Código de Ética de su institución,"No responde ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted conoce la Estructura de Integridad			 ",a.	Si conoce la Estructura de Integridad,No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted conoce la Estructura de Integridad			 ",b.	No conoce la Estructura de Integridad,No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted conoce la Estructura de Integridad			 ",c.	Tengo alguna información de la Estructura de Integridad,No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted conoce la Estructura de Integridad			 ",No responde,No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe cómo utilizar el canal de consulta en materia de integridad de su institución. ","No responde ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe cómo utilizar el canal de consulta en materia de integridad de su institución. ","No sabe cómo utilizar el canal de consulta en materia Integridad ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe cómo utilizar el canal de consulta en materia de integridad de su institución. ","Si sabe cómo utilizar el canal de consulta en materia Integridad ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe cómo utilizar el canal de consulta en materia de integridad de su institución. ","Tengo información incompleta sobre cómo utilizar el canal de consulta ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe cómo utilizar el canal de denuncia en materia de integridad de su institución. ","No responde ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe cómo utilizar el canal de denuncia en materia de integridad de su institución. ","No sabe cómo utilizar el canal de denuncia en materia Integridad ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe cómo utilizar el canal de denuncia en materia de integridad de su institución. ","Si sabe cómo utilizar el canal de denuncia en materia Integridad ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe cómo utilizar el canal de denuncia en materia de integridad de su institución. ","Tengo información incompleta sobre cómo utilizar el canal de denuncia ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe si existe en su institución un canal de consulta en materia de integridad			 ","No existe un canal de consulta en materia Integridad ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe si existe en su institución un canal de consulta en materia de integridad			 ","No responde ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe si existe en su institución un canal de consulta en materia de integridad			 ","Si existe un canal de consulta en materia Integridad ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Usted sabe si existe en su institución un canal de consulta en materia de integridad			 ","Tengo alguna información relacionada con el canal de consulta, pero no puedo asegurar si existe un canal para ello ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Usted sabe si existe en su institución un canal de denuncia en materia de integridad,"No existe un canal de denuncia en materia Integridad ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Usted sabe si existe en su institución un canal de denuncia en materia de integridad,"No responde ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Usted sabe si existe en su institución un canal de denuncia en materia de integridad,"Si existe un canal de denuncia en materia Integridad ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Usted sabe si existe en su institución un canal de denuncia en materia de integridad,"Tengo alguna información relacionada con el canal de denuncia, pero no puedo asegurar si existe un canal para ello ",No responde encuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Capacitación de Código de Etica,,Si Realiza capacitación del Código
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Capacitación del Sistema de Integridad,,Si Realiza capacitación del Sistema de Integridad
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,"Curso de Código de Ética ","Otro ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Difusión de Código de Etica,,Si Realiza algún tipo de Difusión de Código
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,"Difusión de los Funcionarios Encargados del Proceso de Consulta ",,No ha difundido los encargados del proceso de Consulta
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,"Difusión de los Funcionarios Encargados del Proceso de Denuncia ",,No ha difundido los encargados del proceso de Denuncia
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Difusión de los Participantes de la Estructura de Integridad,,Si ha difundido los participantes de la Estructura
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Difusión del sistema de Integridad,,Si Realiza algún tipo de Difusión del Sistema de Integridad
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Existencia de Canales de Consulta,,No Existencia de Canales de Consulta
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Existencia de Canales de Denuncia,,No Existencia de Canales de Denuncia
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Existencia de Diagrama de Consulta,,No existencia de diagrama de Consulta
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Existencia de Diagrama de Denuncia,,No existencia de diagrama de Denuncia
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Fecha de última actualización del Código de Ética vigente,,
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Frecuencia Reporte del Coordinador a la Autoridad,,No reporta
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Frecuencia Reporte del Coordinador al comité,,No reporta
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,"Grupo de discusión ","Material legal específico ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Indicadores Medidos con Posterioridad  2019,% de Consultas Respondidas post 2019,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Indicadores Medidos con Posterioridad  2019,% de Denuncias con Investigación Sumaria post 2019,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Indicadores Medidos con Posterioridad  2019,% de Denuncias con Sumario Administrativo post 2019,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Indicadores Medidos con Posterioridad  2019,% de Denuncias Desestimada post 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Indicadores Medidos con Posterioridad  2019,% de Denuncias en Proceso post 2019,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Indicadores Medidos con Posterioridad  2019,% de Denuncias Respondidas post 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Indicadores Medidos con Posterioridad  2019,Promedio de Días de Demora en Responder una Consulta post 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Indicadores Medidos con Posterioridad  2019,Promedio de Días de Demora en Responder una Denuncia post 2019,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,"Material legal específico ","Curso de Código de Ética ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de consulta,Correo electrónico,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de consulta,Funcionario encargado,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de consulta,Intranet,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de consulta,Oficina de Partes,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de consulta,Otro,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de consulta,Teléfono,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de denuncia,Correo electrónico,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de denuncia,Funcionario encargado,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de denuncia,Intranet,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de denuncia,"Oficina de Partes ",0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de denuncia,"Otro ",0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de canales de denuncia,Teléfono,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de capacitación de Códigos de Ética,Curso de Código de Ética,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de capacitación de Códigos de Ética,Grupo de discusión,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de capacitación de Códigos de Ética,Material legal específico,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de capacitación de Códigos de Ética,Otro,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de capacitación de Sistema de Integridad,"Grupo de discusión ",1
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2018,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2020,
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2018,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2020,
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2018,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2020,
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de Difusión de Estructura de Integridad,"Actividad específica ",1
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de Difusión de Estructura de Integridad,"Estrategia / Programa de difusión ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de Difusión de Estructura de Integridad,"Otros ",9100
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,Medios de Difusión de Estructura de Integridad,"Vía página web o intranet del servicio ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Actividad específica ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Estrategia / Programa de difusión ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Otros ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Corporación Nacional Forestal,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Vía página web o intranet del servicio ",
