"CD_Concurso","año","Fecha_Convocado","Ministerio","Servicio","Cargo","Nivel","Adscrito","Estado"
"1012",2009,2009-12-20,Ministerio de Salud,Servicio de Salud Talcahuano,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Finalizado con nombramiento
"1013",2011,2011-03-20,Ministerio de Salud,Servicio de Salud Viña del Mar - Quillota,Director/a Hospital Gustavo Fricke,II,Adscrito,Finalizado con nombramiento
"1014",2011,2011-05-08,Ministerio de Salud,Servicio de Salud Viña del Mar - Quillota,Subdirector/a Médico/a Hospital Gustavo Fricke,II,Adscrito,Desierto
"1015",2010,2010-05-30,Ministerio del Trabajo y Previsión Social,Servicio Nacional de Capacitación y Empleo,Director/a Nacional,I,Adscrito,Finalizado con nombramiento
"1016",2010,2010-09-26,Ministerio de Salud,Servicio de Salud Arica,Subdirector/a Administrativo/a Servicio de Salud,II,Adscrito,Finalizado con nombramiento
"1017",2009,2009-11-29,Ministerio de Agricultura,Servicio Agrícola y Ganadero,Director/a Regional Metropolitana,II,Adscrito,Finalizado con nombramiento
"1018",2010,2010-10-03,Ministerio de Salud,Servicio de Salud Aconcagua,Director/a Hospital San Juan de Dios de Los Andes,II,Adscrito,Finalizado con nombramiento
"1019",2010,2010-07-25,Ministerio del Deporte,Instituto Nacional de Deportes de Chile,Director/a Regional Araucanía,II,Adscrito,Finalizado con nombramiento
"102",2005,2005-07-03,Ministerio de Salud,Servicio de Salud Valparaíso - San Antonio,Director/a Hospital Carlos Van Buren,II,Adscrito,Finalizado con nombramiento
"1020",2010,2010-04-11,Ministerio del Trabajo y Previsión Social,Superintendencia de  Pensiones,Intendente/a de Regulación de Prestadores Públicos y Privados,II,Adscrito,Desierto
"1021",2010,2010-04-11,Ministerio del Trabajo y Previsión Social,Superintendencia de  Pensiones,"Jefe/a de División, Función: Comisiones Médicas y Ergonómica",II,Adscrito,Finalizado con nombramiento
"1022",2010,2010-10-03,Ministerio de Salud,Servicio de Salud Bío - Bío,Jefe/a Departamento Auditoría,II,Adscrito,Desierto
"1023",2010,2010-07-11,Ministerio de Educación,Junta Nacional de Jardines Infantiles,"Director/a Regional, Región de Antofagasta",II,Adscrito,Desierto
"1024",2010,2010-07-11,Ministerio de Educación,Junta Nacional de Jardines Infantiles,"Director/a Regional, Región de Magallanes y la Antártica Chilena",II,Adscrito,Desierto
"1025",2011,2011-04-10,Ministerio de Hacienda,Servicio Nacional de Aduanas,Subdirector/a Función Recursos Humanos,II,Adscrito,Finalizado con nombramiento
"1026",2011,2011-04-10,Ministerio de Hacienda,Servicio Nacional de Aduanas,Subdirector/a Función Jurídico/a,II,Adscrito,Finalizado con nombramiento
"1027",2010,2010-10-03,Ministerio de Salud,Servicio de Salud Arauco,Director/a Atención Primaria,II,Adscrito,Desierto
"1028",2010,2010-04-25,Ministerio de Salud,Servicio de Salud Osorno,Director/a Servicio de Salud,I,Adscrito,Finalizado con nombramiento
"1029",2010,2010-07-04,Ministerio de Minería,Servicio Nacional de Geología y Minería,Subdirector/a Nacional de Geología,II,Adscrito,Desierto
"103",2005,2005-07-03,Ministerio de Salud,Servicio de Salud Valparaíso - San Antonio,Director/a Hospital Dr. Eduardo Pereira,II,Adscrito,Desierto
"1030",2010,2010-04-25,Ministerio del Trabajo y Previsión Social,Instituto de Previsión Social,Director/a Regional Arica y Parinacota,II,Adscrito,Finalizado con nombramiento
"1031",2010,2010-04-25,Ministerio del Trabajo y Previsión Social,Instituto de Previsión Social,Director/a Regional Los Ríos,II,Adscrito,Finalizado con nombramiento
"1032",2010,2010-05-16,Ministerio de Salud,Central de Abastecimiento del Sistema Nacional de Servicios de Salud,"Jefe/a Departamento Finanzas, Administración y Servicios Internos",II,Adscrito,Desierto
"1033",2010,2010-04-25,Ministerio de Salud,Servicio de Salud Atacama,Director/a Servicio de Salud,I,Adscrito,Desierto
"1034",2011,2011-10-23,Ministerio de Salud,Servicio de Salud Aconcagua,Subdirector/a Médico/a Hospital San Camilo de San Felipe,II,Adscrito,Desierto
"1035",2010,2010-10-10,Ministerio de Salud,Servicio de Salud Metropolitano Suroriente,Director/a Hospital de San José del Maipo,II,Adscrito,Finalizado con nombramiento
"1036",2010,2010-05-16,Ministerio de Minería,Comisión Chilena del Cobre,Fiscal,II,Adscrito,Finalizado con nombramiento
"1037",2010,2010-07-25,Ministerio del Deporte,Instituto Nacional de Deportes de Chile,Director/a Regional Antofagasta,II,Adscrito,Finalizado con nombramiento
"1038",2010,2010-04-11,Ministerio de Energía,Superintendencia de Electricidad y Combustibles,Jefe/a División Jurídica,II,Adscrito,Finalizado con nombramiento
"1039",2011,2011-10-23,Ministerio de Salud,Servicio de Salud Arica,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Desierto
"104",2005,2005-07-03,Ministerio de Salud,Servicio de Salud Valparaíso - San Antonio,Subdirector/a Médico/a Hospital Carlos Van Buren,II,Adscrito,Desierto
"1040",2010,2010-06-13,Ministerio de Defensa Nacional,Caja de Previsión de la Defensa Nacional,Jefe/a División Función Administración y Finanzas,II,Adscrito,Finalizado con nombramiento
"1041",2010,2010-04-11,Ministerio de Defensa Nacional,Dirección General de Aeronáutica Civil,Director/a Función: Departamento Finanzas,II,Adscrito,Finalizado con nombramiento
"1042",2010,2010-05-16,Ministerio de Obras Públicas,Dirección de Vialidad,Subdirector/a de Obras,II,Adscrito,Finalizado con nombramiento
"1043",2012,2012-04-15,Ministerio de Salud,Servicio de Salud Coquimbo,Subdirector/a Médico/a Hospital La Serena,II,Adscrito,Desierto
"1044",2011,2011-04-10,Ministerio de Salud,Servicio de Salud Magallanes,Director/a Hospital Clínico Magallanes Dr. Lautaro Navarro Avaria,II,Adscrito,Finalizado con nombramiento
"1045",2010,2010-06-06,Ministerio del Trabajo y Previsión Social,Instituto de Previsión Social,Subdirector/a de Sistemas de Información y de Administración,II,Adscrito,Desierto
"1046",2010,2010-06-06,Ministerio del Trabajo y Previsión Social,Instituto de Previsión Social,Subdirector/a de Servicios al Cliente,II,Adscrito,Desierto
"1048",2011,2011-07-31,Ministerio de Salud,Servicio de Salud Atacama,Subdirector/a Médico/a Hospital Provincial del Huasco,II,Adscrito,Desierto
"1049",2010,2010-08-29,Ministerio de Salud,Servicio de Salud Chiloé,Director/a Hospital de Castro,II,Adscrito,Finalizado con nombramiento
"105",2005,2005-07-03,Ministerio de Salud,Servicio de Salud Valparaíso - San Antonio,Subdirector/a Administrativo/a Hospital Carlos Van Buren,II,Adscrito,Finalizado con nombramiento
"1051",,,Ministerio de Educación,Comisión Nacional de Investigación Científica y Tecnológica,Jefe/a Departamento Función: Coordinación y Gestión de Programas,II,Adscrito,Sin Efecto
"1052",2010,2010-05-16,Ministerio de Salud,Central de Abastecimiento del Sistema Nacional de Servicios de Salud,"Jefe/a Departamento, Función Operaciones",II,Adscrito,Desierto
"1053",2010,2010-04-18,Ministerio de Defensa Nacional,Caja de Previsión de la Defensa Nacional,Jefe/a División Función Personas,II,Adscrito,Finalizado con nombramiento
"1054",2010,2010-05-02,Ministerio del Trabajo y Previsión Social,Instituto de Previsión Social,Jefe/a Departamento de Personas,II,Adscrito,Finalizado con nombramiento
"1055",2010,2010-05-02,Ministerio del Trabajo y Previsión Social,Instituto de Previsión Social,Jefe/a Departamento Función Planificación y Control de Gestión,II,Adscrito,Desierto
"1056",2010,2010-05-02,Ministerio del Trabajo y Previsión Social,Instituto de Previsión Social,Jefe/a Departamento Auditoría Interna,II,Adscrito,Desierto
"1057",2011,2011-12-11,Ministerio de Energía,Comisión Chilena de Energía Nuclear,Jefe/a de División Función: Personas,II,Adscrito,Finalizado con nombramiento
"1058",2010,2010-06-06,"Ministerio de Economía, Fomento y Turismo",Instituto Nacional de Estadísticas,Director/a Regional Libertador Bernardo OHiggins,II,Adscrito,Finalizado con nombramiento
"1059",2010,2010-05-02,Ministerio de Hacienda,Servicio de Tesorerías - Tesorería General de la República,Director/a Regional Tesorero/a Región de Aysén,II,Adscrito,Finalizado con nombramiento
"106",2005,2005-07-03,Ministerio de Salud,Servicio de Salud Viña del Mar - Quillota,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Finalizado con nombramiento
"1060",2015,2015-03-29,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Arica y Parinacota,II,Adscrito,Desierto
"1061",2014,2014-09-14,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Tarapacá,II,Adscrito,Finalizado con nombramiento
"1062",2014,2014-11-02,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Atacama,II,Adscrito,Finalizado con nombramiento
"1063",2015,2015-04-19,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Coquimbo,II,Adscrito,Desierto
"1064",2014,2014-06-08,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Bdo. OHiggins,II,Adscrito,Desierto
"1065",2015,2015-03-29,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Araucanía,II,Adscrito,Finalizado con nombramiento
"1066",2014,2014-09-14,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Magallanes y la Antártica Chilena,II,Adscrito,Finalizado con nombramiento
"1067",2014,2014-11-02,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Los Ríos,II,Adscrito,Finalizado con nombramiento
"1068",2013,2013-06-30,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Metropolitana,II,Adscrito,Finalizado con nombramiento
"1069",2013,2013-06-30,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Valparaíso,II,Adscrito,Finalizado con nombramiento
"107",2005,2005-07-03,Ministerio de Salud,Servicio de Salud Viña del Mar - Quillota,Subdirector/a Administrativo/a Servicio de Salud,II,Adscrito,Finalizado con nombramiento
"1070",2015,2015-04-19,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Los Lagos,II,Adscrito,Desierto
"1071",2014,2014-06-08,Ministerio de Justicia y Derechos Humanos,Servicio Medico Legal,Director/a Regional Aysén,II,Adscrito,Finalizado con nombramiento
"1072",2011,2011-07-31,Ministerio de Salud,Servicio de Salud Magallanes,Subdirector/a Médico/a Hospital Regional de Punta Arenas Dr. Lautaro Navarro Avaria,II,Adscrito,Finalizado con nombramiento
"1073",2011,2011-07-24,Ministerio de Salud,Servicio de Salud Maule,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Desierto
"1074",2010,2010-05-16,Ministerio de Salud,Servicio de Salud Coquimbo,Director/a Hospital Dr. Humberto Elorza Cortés de Illapel,II,Adscrito,Finalizado con nombramiento
"1075",2015,2015-12-06,Ministerio de Salud,Servicio de Salud Viña del Mar - Quillota,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Finalizado con nombramiento
"1076",2011,2011-08-07,Ministerio de Salud,Servicio de Salud Aysén,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Finalizado con nombramiento
"1078",2010,2010-05-16,Ministerio de Salud,Servicio de Salud Atacama,Director/a Hospital San José del Carmen de Copiapó,II,Adscrito,Finalizado con nombramiento
"1079",2013,2013-07-14,Ministerio de Salud,Servicio de Salud Chiloé,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Desierto
"108",2005,2005-07-03,Ministerio de Salud,Servicio de Salud Viña del Mar - Quillota,Subdirector/a Médico/a Hospital Gustavo Fricke,II,Adscrito,Desierto
"1080",2011,2011-09-04,Ministerio de Salud,Servicio de Salud Metropolitano Norte,Subdirector/a Médico/a Hospital Roberto del Río,II,Adscrito,Finalizado con nombramiento
"1081",2010,2010-04-25,Ministerio de Salud,Servicio de Salud Arica,Director/a Servicio de Salud,I,Adscrito,Finalizado con nombramiento
"1082",2010,2010-05-30,Ministerio de Salud,Servicio de Salud Bío - Bío,Director/a Servicio de Salud,I,Adscrito,Desierto
"1083",2011,2011-04-17,Ministerio de Salud,Servicio de Salud Maule,Director/a Hospital de Constitución,II,Adscrito,Finalizado con nombramiento
"1084",2011,2011-07-31,Ministerio de Salud,Servicio de Salud Araucanía Sur,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Finalizado con nombramiento
"1085",2010,2010-04-11,Ministerio del Trabajo y Previsión Social,Instituto de Previsión Social,Director/a Regional Bío-Bío,II,Adscrito,Finalizado con nombramiento
"1086",2010,2010-05-02,Ministerio de Hacienda,Unidad de Análisis Financiero,Jefe/a División Función Jurídica,II,Adscrito,Finalizado con nombramiento
"1087",2010,2010-06-06,Ministerio de Obras Públicas,Dirección General de Aguas,Jefe/a División de Hidrología,II,Adscrito,Finalizado con nombramiento
"1088",2010,2010-04-18,Ministerio de Educación,Junta Nacional de Auxilio Escolar y Becas,Jefe/a Departamento Función Gestión de Personas,II,Adscrito,Finalizado con nombramiento
"1089",2010,2010-06-20,Ministerio del Interior y Seguridad Pública,Dirección de Previsión de Carabineros de Chile,Subdirector/a Médico/a Hospital,II,Adscrito,Finalizado con nombramiento
"109",2005,2005-07-03,Ministerio de Salud,Servicio de Salud Viña del Mar - Quillota,Subdirector/a Administrativo/a Hospital Gustavo Fricke,II,Adscrito,Finalizado con nombramiento
"1090",2011,2011-03-13,Ministerio de Hacienda,Servicio Nacional de Aduanas,Director/a Nacional,I,Adscrito,Finalizado con nombramiento
"1091",2010,2010-03-28,Otros Organismos,Consejo para la Transparencia,Director/a de Fiscalización,I,No Adscrito,Finalizado con nombramiento
"1092",2011,2011-03-06,Ministerio de Agricultura,Servicio Agrícola y Ganadero,Jefe/a División Función: Subdirección Nacional,II,Adscrito,Finalizado con nombramiento
"1093",2010,2010-05-02,Ministerio de Educación,"Dirección de Bibliotecas, Archivos y Museos","Director/a Nacional de Bibliotecas, Archivos y Museo y Director/a de la Biblioteca Nacional",I,Adscrito,Finalizado con nombramiento
"1094",2010,2010-10-31,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Subdirector/a Nacional,II,Adscrito,Finalizado con nombramiento
"1095",2011,2011-04-17,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Arica y Parinacota,II,Adscrito,Desierto
"1096",2011,2011-04-17,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Tarapacá,II,Adscrito,Desierto
"1097",2011,2011-04-17,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Antofagasta,II,Adscrito,Finalizado con nombramiento
"1098",2011,2011-04-17,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Atacama,II,Adscrito,Finalizado con nombramiento
"1099",2011,2011-04-17,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Coquimbo,II,Adscrito,Finalizado con nombramiento
"11",2005,2005-10-02,Ministerio de Salud,Servicio de Salud Metropolitano Sur,Director/a Servicio de Salud,I,Adscrito,Finalizado con nombramiento
"110",2005,2005-07-03,Ministerio de Salud,Servicio de Salud Aconcagua,Director/a Hospital San Juan de Dios de Los Andes,II,Adscrito,Finalizado con nombramiento
"1100",2011,2011-03-13,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Valparaíso,II,Adscrito,Desierto
"1101",2011,2011-03-13,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Metropolitano/a,II,Adscrito,Finalizado con nombramiento
"1102",2011,2011-03-13,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional O'Higgins,II,Adscrito,Desierto
"1103",2011,2011-03-13,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Maule,II,Adscrito,Finalizado con nombramiento
"1104",2011,2011-03-13,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Bío-Bío,II,Adscrito,Finalizado con nombramiento
"1105",2011,2011-03-27,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Araucanía,II,Adscrito,Desierto
"1106",2011,2011-03-27,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Los Ríos,II,Adscrito,Finalizado con nombramiento
"1107",2011,2011-03-27,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Los Lagos,II,Adscrito,Desierto
"1108",2011,2011-03-27,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Aysén,II,Adscrito,Desierto
"1109",2011,2011-03-27,Ministerio de Desarrollo Social,Servicio Nacional de la Discapacidad,Director/a Regional Magallanes y la Antártica Chilena,II,Adscrito,Desierto
"111",2005,2005-10-16,Ministerio de Salud,Servicio de Salud Maule,Director/a Hospital de Talca,II,Adscrito,Desierto
"1110",2010,2010-07-25,Ministerio del Interior y Seguridad Pública,Oficina Nacional de Emergencia,Director/a,I,Adscrito,Finalizado con nombramiento
"1111",2010,2010-05-02,Ministerio de Hacienda,Unidad de Análisis Financiero,Jefe/a División Función Inteligencia Financiera,II,Adscrito,Finalizado con nombramiento
"1112",2011,2011-03-06,Ministerio de Salud,Servicio de Salud Araucanía Sur,Director/a Hospital de Lautaro,II,Adscrito,Desierto
"1113",2010,2010-05-02,Ministerio de Hacienda,Servicio de Tesorerías - Tesorería General de la República,Director/a Regional Tesorero/a Región Metropolitana Santiago Sur,II,Adscrito,Finalizado con nombramiento
"1114",2010,2010-10-03,Ministerio de Salud,Servicio de Salud Coquimbo,Director/a Hospital San Pablo de Coquimbo,II,Adscrito,Finalizado con nombramiento
"1115",2010,2010-05-30,Ministerio de Salud,Servicio de Salud Maule,Director/a Servicio de Salud,I,Adscrito,Finalizado con nombramiento
"1116",2010,2010-04-11,Ministerio de Obras Públicas,Dirección General de Aguas,Director/a,I,Adscrito,Finalizado con nombramiento
"1117",2010,2010-05-02,Ministerio de Hacienda,Servicio de Tesorerías - Tesorería General de la República,Director/a Regional Tesorero/a Región de Atacama,II,Adscrito,Finalizado con nombramiento
"1118",2010,2010-04-25,Ministerio de Salud,Servicio de Salud Metropolitano Suroriente,Director/a Servicio de Salud,I,Adscrito,Finalizado con nombramiento
"1119",2010,2010-05-30,Ministerio de Vivienda y Urbanismo,Servicio de Vivienda y Urbanización Región Valparaíso,Director/a,I,Adscrito,Finalizado con nombramiento
"112",2005,2005-10-16,Ministerio de Salud,Servicio de Salud Maule,Director/a Hospital de Linares,II,Adscrito,Desierto
"1120",2010,2010-05-30,Ministerio de Vivienda y Urbanismo,Servicio de Vivienda y Urbanización Región Bdo. OHiggins,Director/a,I,Adscrito,Desierto
"1121",2010,2010-05-30,Ministerio de Vivienda y Urbanismo,Servicio de Vivienda y Urbanización Región del Maule,Director/a,I,Adscrito,Desierto
"1122",2010,2010-04-25,"Ministerio de Economía, Fomento y Turismo",Fiscalía Nacional Económica,Fiscal Nacional Económico,I,No Adscrito,Finalizado con nombramiento
"1123",2010,2010-05-23,"Ministerio de Economía, Fomento y Turismo",Servicio Nacional del Consumidor,Director/a Nacional,I,Adscrito,Finalizado con nombramiento
"1124",2010,2010-05-23,"Ministerio de Economía, Fomento y Turismo",Servicio Nacional de Turismo,Director/a Nacional,I,Adscrito,Finalizado con nombramiento
"1125",2010,2010-08-01,Ministerio de Educación,Comisión Nacional de Investigación Científica y Tecnológica,Jefe/a Departamento Función Administración y Finanzas,II,Adscrito,Finalizado con nombramiento
"1126",2010,2010-04-04,Ministerio de Salud,Superintendencia de Salud,Superintendente/a,I,Adscrito,Finalizado con nombramiento
"1127",2010,2010-05-02,Ministerio de Energía,Comisión Nacional de Energía,Secretario/a Ejecutivo/a,I,Adscrito,Finalizado con nombramiento
"1128",2010,2010-08-29,Ministerio de Salud,Servicio de Salud Metropolitano Oriente,Director/a Hospital Dr. Luis Tisné Brousse,II,Adscrito,Finalizado con nombramiento
"1129",2010,2010-10-31,"Ministerio de Economía, Fomento y Turismo",Superintendencia de Insolvencia y Reemprendimiento,Jefe/a Departamento Jurídico,II,Adscrito,Sin Efecto
"113",2005,2005-10-16,Ministerio de Salud,Servicio de Salud del Reloncaví,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Desierto
"1130",2013,2013-08-18,Ministerio de Salud,Servicio de Salud Valparaíso - San Antonio,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Finalizado con nombramiento
"1131",2011,2011-04-03,Ministerio de Salud,Servicio de Salud Valparaíso - San Antonio,Director/a Hospital Psiquiátrico El Salvador,II,Adscrito,Finalizado con nombramiento
"1132",2010,2010-05-16,Ministerio del Interior y Seguridad Pública,Dirección de Previsión de Carabineros de Chile,Director/a,I,Adscrito,Desierto
"1133",2010,2010-04-18,Otros Organismos,Corte de Apelaciones de La Serena,Juez Tributario y Aduanero Tribunal Tributario y Aduanero Región de Coquimbo,I,No Adscrito,Finalizado con nombramiento
"1134",2010,2010-04-18,Otros Organismos,Corte de Apelaciones de La Serena,Secretario Abogado Tribunal Tributario y Aduanero Región de Coquimbo,I,No Adscrito,Finalizado con nombramiento
"1135",2010,2010-08-22,Ministerio del Trabajo y Previsión Social,Servicio Nacional de Capacitación y Empleo,Director/a Regional Bío-Bío,II,Adscrito,Finalizado con nombramiento
"1136",2010,2010-07-25,Ministerio del Deporte,Instituto Nacional de Deportes de Chile,Director/a Regional Magallanes y la Antártica Chilena,II,Adscrito,Finalizado con nombramiento
"1137",2010,2010-05-30,Ministerio de Salud,Servicio de Salud Metropolitano Occidente,Subdirector/a Administrativo/a Hospital San Juan de Dios,II,Adscrito,Finalizado con nombramiento
"1138",2010,2010-05-09,Ministerio de Agricultura,Instituto de Desarrollo Agropecuario,Director/a Nacional,I,Adscrito,Finalizado con nombramiento
"1139",2010,2010-04-18,Otros Organismos,Corte de Apelaciones de Punta Arenas,Juez Tributario y Aduanero Tribunal Tributario y Aduanero Región de Magallanes y de la Antártica Chilena,I,No Adscrito,Finalizado con nombramiento
"114",2005,2005-10-16,Ministerio de Salud,Servicio de Salud del Reloncaví,Director/a Hospital Base de Puerto Montt,II,Adscrito,Desierto
"1140",2010,2010-04-18,Otros Organismos,Corte de Apelaciones de Punta Arenas,Secretario Abogado Tribunal Tributario y Aduanero Región de Magallanes y de la Antártica Chilena,I,No Adscrito,Finalizado con nombramiento
"1141",2010,2010-04-18,Otros Organismos,Corte de Apelaciones de Temuco,Juez Tributario y Aduanero Tribunal Tributario y Aduanero Región de la Araucanía,I,No Adscrito,Finalizado con nombramiento
"1142",2010,2010-04-18,Otros Organismos,Corte de Apelaciones de Temuco,Secretario Abogado Tribunal Tributario y Aduanero Región de la Araucanía,I,No Adscrito,Finalizado con nombramiento
"1143",2010,2010-04-18,Otros Organismos,Corte de Apelaciones de Talca,Juez Tributario y Aduanero Tribunal Tributario y Aduanero Región del Maule,I,No Adscrito,Finalizado con nombramiento
"1144",2010,2010-04-18,Otros Organismos,Corte de Apelaciones de Talca,Secretario Abogado Tribunal Tributario y Aduanero Región del Maule,I,No Adscrito,Finalizado con nombramiento
"1145",2010,2010-06-27,Ministerio de Obras Públicas,Dirección de Obras Portuarias,Jefe/a División de Proyectos,II,Adscrito,Desierto
"1146",2010,2010-05-16,Ministerio de Obras Públicas,Dirección de Aeropuertos,Director/a Nacional,I,Adscrito,Finalizado con nombramiento
"1147",2010,2010-06-13,Ministerio del Trabajo y Previsión Social,Servicio Nacional de Capacitación y Empleo,Director/a Regional Atacama,II,Adscrito,Desierto
"1148",2010,2010-05-30,Ministerio de Vivienda y Urbanismo,Servicio de Vivienda y Urbanización Región del Bío-Bío,Director/a,I,Adscrito,Finalizado con nombramiento
"1149",2010,2010-05-30,Ministerio de Vivienda y Urbanismo,Servicio de Vivienda y Urbanización Región de la Araucanía,Director/a,I,Adscrito,Finalizado con nombramiento
"115",2005,2005-10-16,Ministerio de Salud,Servicio de Salud del Reloncaví,Subdirector/a Administrativo/a Hospital de Puerto Montt,II,Adscrito,Finalizado con nombramiento
"1150",2010,2010-05-23,Ministerio de Energía,Superintendencia de Electricidad y Combustibles,Director/a Regional Los Ríos,II,Adscrito,Finalizado con nombramiento
"1151",2011,2011-07-31,Ministerio de Salud,Servicio de Salud Metropolitano Occidente,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Finalizado con nombramiento
"1152",2010,2010-05-16,Ministerio de Desarrollo Social,Fondo de Solidaridad e Inversión Social,Director/a Ejecutivo/a,I,Adscrito,Finalizado con nombramiento
"1153",2010,2010-09-05,Ministerio de Salud,Superintendencia de Salud,Jefe/a Departamento Función: Estudios y Desarrollo,II,Adscrito,Finalizado con nombramiento
"1154",2010,2010-07-25,Ministerio de Salud,Servicio de Salud Metropolitano Central,Director/a Servicio de Salud,I,Adscrito,Finalizado con nombramiento
"1155",2010,2010-07-25,Ministerio de Salud,Servicio de Salud Metropolitano Sur,Director/a Servicio de Salud,I,Adscrito,Finalizado con nombramiento
"1156",2010,2010-09-05,Ministerio de Salud,Servicio de Salud Aysén,Director/a Servicio de Salud,I,Adscrito,Desierto
