Adscrito;Nivel;Concurso;Ministerio;Servicio;Nombre Cargo;Fecha Convocatoria;Fecha Envío Nómina;Fecha Desierto;Tipo Desierto
Adscrito;Nivel I;ADP-12377;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Biobío;Director/a Regional Serviu Bío-Bío;17-07-2022;06-12-2022;28-02-2023;Desierto por Autoridad
Adscrito;Nivel I;ADP-4913;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Nacional;11-08-2019;15-10-2019;19-12-2019;Desierto por Autoridad
Adscrito;Nivel I;ADP-7052;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Antofagasta;Director/a Regional Serviu Antofagasta;25-04-2021;20-07-2021;29-11-2021;Desierto por Autoridad
Adscrito;Nivel I;ADP-4091;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Maule;Director/a Regional Serviu Maule;17-06-2018;30-08-2018;30-08-2018;Desierto por Autoridad
Adscrito;Nivel I;ADP-4494;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Maule;Director/a Regional Serviu Maule;13-01-2019;22-04-2019;02-09-2019;Desierto por Autoridad
Adscrito;Nivel I;ADP-5040;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Maule;Director/a Regional Serviu Maule;24-11-2019;30-01-2020;22-11-2020;Desierto por Autoridad
Adscrito;Nivel I;ADP-3652;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Nacional;04-06-2017;05-09-2017;29-12-2017;Desierto por Autoridad
Adscrito;Nivel I;ADP-11870;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Nacional;15-05-2022;08-09-2022;14-11-2022;Desierto por Autoridad
Adscrito;Nivel I;ADP-16409;Otros Organismos;Congreso de la República;Profesional Especialista en Auditoría del Comité de Auditoría Parlamentaria;29-01-2023;27-04-2023;02-06-2023;Desierto por Autoridad
Adscrito;Nivel I;ADP-16407;Otros Organismos;Congreso de la República;Abogado/a del Comité de Auditoría Parlamentaria;29-01-2023;28-04-2023;02-06-2023;Desierto por Autoridad
Adscrito;Nivel I;ADP-5429;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Unidad de Promoción, Educación y Participación;11-09-2022;-;02-03-2023;Desierto por CADP
Adscrito;Nivel I;ADP-12920;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Unidad de Protección de Derechos, Legislación y Justicia;09-10-2022;16-03-2023;24-05-2023;Desierto por Autoridad
Adscrito;Nivel I;ADP-16408;Otros Organismos;Congreso de la República;Contador/a Auditor/a del Comité de Auditoría Parlamentaria;29-01-2023;27-04-2023;02-06-2023;Desierto por Autoridad
Adscrito;Nivel I;ADP-13002;Ministerio de Hacienda;Defensoría del Contribuyente;Subdirector/a;03-07-2022;17-11-2022;07-07-2023;Desierto por Autoridad
Adscrito;Nivel I;ADP-8690;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a de la Unidad Planificación, Control de Gestión y TICS;22-08-2021;25-11-2021;08-09-2022;Desierto por Autoridad
Adscrito;Nivel I;ADP-13740;Ministerio de Desarrollo Social y Familia;Servicio Nacional de Protección Especializada a la Niñez y Adolescencia;Consejero/a (Médico Psiquiatra Infanto-Juvenil);23-10-2022;-;10-01-2023;Desierto por CADP
Adscrito;Nivel I;ADP-5731;Ministerio de Defensa Nacional;Caja de Previsión de la Defensa Nacional;Vicepresidente/a Ejecutivo/a;25-10-2020;14-01-2021;29-03-2021;Desierto por Autoridad
Adscrito;Nivel I;ADP-3680;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Ejecutivo/a;28-05-2017;11-08-2017;16-02-2018;Desierto por Autoridad
Adscrito;Nivel I;ADP-5020;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala;Director/a Ejecutivo;20-10-2019;21-01-2020;18-05-2020;Desierto por Autoridad
Adscrito;Nivel I;ADP-2983;Ministerio del Interior y Seguridad Pública;Dirección de Previsión de Carabineros de Chile;Director/a;09-07-2017;13-09-2017;15-02-2018;Desierto por Autoridad
Adscrito;Nivel I;ADP-6969;Ministerio de la Mujer y la Equidad de Género;Servicio Nacional de la Mujer y la Equidad de Género;Director/a Nacional;24-01-2021;20-04-2021;13-05-2021;Desierto por Autoridad
Adscrito;Nivel I;ADP-4250;Ministerio de Educación;Dirección de Educación Pública;Director/a de Educación Pública;24-06-2018;04-09-2018;07-11-2018;Desierto por Autoridad
Adscrito;Nivel I;ADP-3678;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Director/a Ejecutivo/a;11-06-2017;05-09-2017;31-01-2018;Desierto por Autoridad
Adscrito;Nivel I;25;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;21-05-2006;16-08-2006;13-11-2006;Desierto por Autoridad
Adscrito;Nivel I;45;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Nacional;09-07-2006;12-09-2006;29-09-2006;Desierto por Autoridad
Adscrito;Nivel I;48;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Director/a Regional Serviu Tarapacá;29-10-2006;05-01-2007;16-02-2007;Desierto por Autoridad
Adscrito;Nivel I;51;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;17-12-2006;-;20-03-2007;Desierto por CADP
Adscrito;Nivel I;52;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;17-12-2006;-;20-03-2007;Desierto por CADP
Adscrito;Nivel I;53;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Director/a Ejecutivo/a;21-01-2007;15-05-2007;24-05-2007;Desierto por Autoridad
Adscrito;Nivel I;60;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Valparaíso;Director/a Regional Serviu Valparaíso;24-06-2007;02-10-2007;12-12-2007;Desierto por Autoridad
Adscrito;Nivel I;67;Ministerio de Relaciones Exteriores;Instituto Antártico Chileno;Director/a;28-10-2007;-;25-01-2008;Desierto por CADP
Adscrito;Nivel I;562;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Secretario/a General;13-04-2008;11-07-2008;24-07-2008;Desierto por Autoridad
Adscrito;Nivel I;566;Ministerio de Transportes y Telecomunicaciones;Junta de Aeronáutica Civil;Secretario/a General;08-06-2008;21-08-2008;24-10-2008;Desierto por Autoridad
Adscrito;Nivel I;580;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Metropolitano;Director/a;13-04-2008;19-08-2008;26-08-2008;Desierto por Autoridad
Adscrito;Nivel I;614;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;18-05-2008;-;08-08-2008;Desierto por CADP
Adscrito;Nivel I;662;Ministerio de Salud;Servicio de Salud Chiloé;Director/a Servicio de Salud;31-08-2008;11-11-2008;07-05-2009;Desierto por Autoridad
Adscrito;Nivel I;737;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;08-03-2009;-;27-05-2009;Desierto por CADP
Adscrito;Nivel I;751;Ministerio de Minería;Comisión Chilena del Cobre;Vicepresidente/a Ejecutivo/a;15-03-2009;10-06-2009;22-07-2009;Desierto por Autoridad
Adscrito;Nivel I;768;Ministerio de Economía, Fomento y Turismo;Superintendencia de Insolvencia y Reemprendimiento;Superintendente/a;22-03-2009;11-06-2009;13-07-2009;Desierto por Autoridad
Adscrito;Nivel I;834;Ministerio de Hacienda;Servicio Nacional de Aduanas;Director/a Nacional;14-06-2009;20-08-2009;26-02-2010;Desierto por Autoridad
Adscrito;Nivel I;964;Ministerio de Salud;Servicio de Salud Biobío;Director/a Servicio de Salud;08-11-2009;-;26-01-2010;Desierto por CADP
Adscrito;Nivel I;983;Ministerio de Salud;Servicio de Salud Arica y Parinacota;Director Servicio de Salud;08-11-2009;-;26-01-2010;Desierto por CADP
Adscrito;Nivel I;1033;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;25-04-2010;03-08-2010;01-09-2010;Desierto por Autoridad
Adscrito;Nivel I;1082;Ministerio de Salud;Servicio de Salud Biobío;Director/a Servicio de Salud;30-05-2010;30-08-2010;14-10-2010;Desierto por Autoridad
Adscrito;Nivel I;1120;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Libertador General Bernardo O'Higgins;Director/a Regional Serviu OHiggins;30-05-2010;14-10-2010;29-11-2010;Desierto por Autoridad
Adscrito;Nivel I;1121;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Maule;Director/a Regional Serviu Maule;30-05-2010;04-10-2010;29-11-2010;Desierto por Autoridad
Adscrito;Nivel I;1132;Ministerio del Interior y Seguridad Pública;Dirección de Previsión de Carabineros de Chile;Director/a;16-05-2010;13-08-2010;05-10-2010;Desierto por Autoridad
Adscrito;Nivel I;1156;Ministerio de Salud;Servicio de Salud Aysén;Director/a Servicio de Salud;05-09-2010;-;30-11-2010;Desierto por CADP
Adscrito;Nivel I;1163;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Lagos;Director/a Regional Serviu Los Lagos;06-06-2010;14-09-2010;10-01-2011;Desierto por Autoridad
Adscrito;Nivel I;1165;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Vicepresidente/a Ejecutivo/a;20-06-2010;28-09-2010;10-02-2011;Desierto por Autoridad
Adscrito;Nivel I;1170;Ministerio de Salud;Servicio de Salud Araucanía Norte;Director/a Servicio de Salud;25-07-2010;-;26-10-2010;Desierto por CADP
Adscrito;Nivel I;1218;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Servicio de Salud;25-07-2010;05-11-2010;04-01-2011;Desierto por Autoridad
Adscrito;Nivel I;1254;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Nacional;08-08-2010;10-11-2010;19-08-2011;Desierto por Autoridad
Adscrito;Nivel I;1312;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Magallanes y de la Antártica Chilena;Director Regional Serviu Magallanes;26-12-2010;-;11-03-2011;Desierto por CADP
Adscrito;Nivel I;1488;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Servicio de Salud;27-02-2011;-;10-05-2011;Desierto por CADP
Adscrito;Nivel I;1551;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Servicio de Salud;22-05-2011;-;09-08-2011;Desierto por CADP
Adscrito;Nivel I;1553;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Metropolitano;Director/a;08-05-2011;28-07-2011;02-11-2011;Desierto por Autoridad
Adscrito;Nivel I;1569;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Servicio de Salud;24-07-2011;13-10-2011;01-12-2011;Desierto por Autoridad
Adscrito;Nivel I;1660;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Nacional;21-08-2011;-;09-11-2011;Desierto por CADP
Adscrito;Nivel I;1666;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Servicio de Salud;04-12-2011;-;01-02-2012;Desierto por CADP
Adscrito;Nivel I;1686;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de la Araucanía;Director/a Regional Serviu Araucanía;23-10-2011;12-01-2012;22-08-2012;Desierto por Autoridad
Adscrito;Nivel I;1850;Ministerio del Interior y Seguridad Pública;Servicio Nacional de Prevención y Respuesta ante Desastres;Director/a;18-03-2012;30-05-2012;30-01-2013;Desierto por Autoridad
Adscrito;Nivel I;1905;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Nacional;03-06-2012;29-08-2012;21-02-2013;Desierto por Autoridad
Adscrito;Nivel I;1948;Ministerio del Medio Ambiente;Superintendencia del Medio Ambiente;Superintendente/a;05-08-2012;-;20-11-2012;Desierto por CADP
Adscrito;Nivel I;2088;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Antofagasta;Director/a Regional Serviu Antofagasta;28-04-2013;15-07-2013;27-12-2013;Desierto por Autoridad
Adscrito;Nivel I;2110;Otros Organismos;Consejo para la Transparencia;Director/a Jurídico/a;16-12-2012;13-03-2013;05-04-2013;Desierto por Autoridad
Adscrito;Nivel I;2162;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Servicio de Salud;19-05-2013;09-08-2013;29-04-2014;Desierto por Autoridad
Adscrito;Nivel I;2183;Ministerio de Obras Públicas;Dirección de Obras Hidráulicas;Director/a Nacional;21-04-2013;02-07-2013;26-11-2013;Desierto por Autoridad
Adscrito;Nivel I;2277;Ministerio de Salud;Servicio de Salud Concepción;Director/a Servicio de Salud;14-07-2013;02-10-2013;30-01-2014;Desierto por Autoridad
Adscrito;Nivel I;2387;Ministerio de Salud;Instituto de Salud Pública;Director/a;16-11-2014;25-03-2015;25-06-2015;Desierto por Autoridad
Adscrito;Nivel I;2399;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Nacional;13-04-2014;02-07-2014;11-09-2014;Desierto por Autoridad
Adscrito;Nivel I;2405;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Director/a Ejecutivo/a;08-06-2014;17-09-2014;14-10-2014;Desierto por Autoridad
Adscrito;Nivel I;2422;Ministerio de Salud;Servicio de Salud Aconcagua;Director/a Servicio de Salud;02-11-2014;23-01-2015;26-03-2015;Desierto por Autoridad
Adscrito;Nivel I;2494;Ministerio de Agricultura;Comisión Nacional de Riego;Secretario/a Ejecutivo/a;11-01-2015;10-04-2015;09-07-2015;Desierto por Autoridad
Adscrito;Nivel I;2495;Ministerio de Obras Públicas;Fiscalía del Ministerio de Obras Públicas;Fiscal Nacional;13-04-2014;-;04-07-2014;Desierto por CADP
Adscrito;Nivel I;2507;Ministerio de Salud;Servicio de Salud Araucanía Sur;Director/a Servicio de Salud;19-10-2014;23-01-2015;16-11-2017;Desierto por Autoridad
Adscrito;Nivel I;2528;Ministerio de Obras Públicas;Dirección de Contabilidad y Finanzas;Director/a Nacional;11-05-2014;08-08-2014;14-10-2014;Desierto por Autoridad
Adscrito;Nivel I;2536;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de la Araucanía;Director/a Regional Serviu Araucanía;13-07-2014;17-10-2014;24-02-2015;Desierto por Autoridad
Adscrito;Nivel I;2539;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Lagos;Director/a Regional Serviu Los Lagos;17-08-2014;14-11-2014;24-02-2015;Desierto por Autoridad
Adscrito;Nivel I;2548;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Biobío;Director/a Regional Serviu Bío-Bío;18-05-2014;21-08-2014;24-02-2015;Desierto por Autoridad
Adscrito;Nivel I;2574;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Maule;Director/a Regional Serviu Maule;18-05-2014;21-08-2014;23-01-2015;Desierto por Autoridad
Adscrito;Nivel I;2575;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Aysén del General Carlos Ibáñez del Campo;Director/a;28-09-2014;31-12-2014;27-01-2015;Desierto por Autoridad
Adscrito;Nivel I;2577;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Coquimbo;Director/a Regional Serviu Coquimbo;28-09-2014;31-12-2014;24-02-2015;Desierto por Autoridad
Adscrito;Nivel I;2623;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;25-05-2014;29-08-2014;10-11-2014;Desierto por Autoridad
Adscrito;Nivel I;2633;Ministerio de Salud;Servicio de Salud Arica y Parinacota;Director Servicio de Salud;17-08-2014;24-11-2014;27-01-2015;Desierto por Autoridad
Adscrito;Nivel I;2791;Ministerio de Obras Públicas;Dirección General de Aguas;Director/a;22-06-2014;-;15-10-2014;Desierto por CADP
Adscrito;Nivel I;2827;Ministerio del Trabajo y Previsión Social;Dirección General de Crédito Prendario;Director/a General;15-06-2014;26-09-2014;20-10-2014;Desierto por Autoridad
Adscrito;Nivel I;2828;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Unidad Administración y Finanzas;28-09-2014;17-12-2014;26-02-2015;Desierto por Autoridad
Adscrito;Nivel I;2947;Ministerio del Trabajo y Previsión Social;Dirección General de Crédito Prendario;Director/a General;05-07-2015;15-09-2015;23-11-2015;Desierto por Autoridad
Adscrito;Nivel I;3053;Ministerio de Salud;Servicio de Salud Arica y Parinacota;Director Servicio de Salud;19-04-2015;14-07-2015;16-09-2015;Desierto por Autoridad
Adscrito;Nivel I;3056;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Lagos;Director/a Regional Serviu Los Lagos;12-04-2015;-;01-07-2015;Desierto por CADP
Adscrito;Nivel I;3250;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Director/a Regional Serviu Tarapacá;27-09-2015;15-12-2015;14-03-2016;Desierto por Autoridad
Adscrito;Nivel I;3404;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Nacional;29-05-2016;-;04-08-2016;Desierto por CADP
Adscrito;Nivel II;ADP-12551;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a Regional Arica y Parinacota;26-06-2022;-;14-09-2022;Desierto por Comité
Adscrito;Nivel II;ADP-13951;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a Regional Coquimbo;25-12-2022;-;19-04-2023;Desierto por Comité
Adscrito;Nivel II;ADP-4232;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Los Lagos;07-04-2019;24-06-2019;17-07-2019;Desierto por Autoridad
Adscrito;Nivel II;ADP-4925;Ministerio de Obras Públicas;Dirección General de Obras Públicas;Jefe/a de División Administración;15-12-2019;17-03-2020;26-05-2020;Desierto por Autoridad
Adscrito;Nivel II;ADP-12278;Ministerio de Obras Públicas;Dirección General de Concesiones de Obras Públicas;Jefe/a de División Jurídica;07-08-2022;02-11-2022;09-12-2022;Desierto por Autoridad
Adscrito;Nivel II;ADP-8547;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a de Gestión y Desarrollo de Personas;27-11-2022;16-03-2023;27-04-2023;Desierto por Autoridad
Adscrito;Nivel II;ADP-13340;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a Regional Antofagasta;28-08-2022;-;28-11-2022;Desierto por Comité
Adscrito;Nivel II;ADP-4378;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a Regional Región de Ñuble;23-09-2018;14-11-2018;27-12-2018;Desierto por Autoridad
Adscrito;Nivel II;ADP-4732;Ministerio del Trabajo y Previsión Social;Superintendencia de Pensiones;Jefe/a de División de Administración Interna;21-07-2019;23-09-2019;08-10-2019;Desierto por Autoridad
Adscrito;Nivel II;ADP-13194;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional de Atacama;29-01-2023;14-04-2023;23-05-2023;Desierto por Autoridad
Adscrito;Nivel II;ADP-4928;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Coquimbo;11-08-2019;13-11-2019;17-12-2019;Desierto por Autoridad
Adscrito;Nivel II;ADP-5398;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Atacama;12-07-2020;16-09-2020;20-10-2020;Desierto por Autoridad
Adscrito;Nivel II;ADP-15245;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Antofagasta;25-12-2022;-;13-04-2023;Desierto por Comité
Adscrito;Nivel II;ADP-4701;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Jefe/a Departamento Desarrollo y Control;28-07-2019;-;26-09-2019;Desierto por Comité
Adscrito;Nivel II;ADP-16475;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional del Bío-Bío;26-03-2023;22-06-2023;25-07-2023;Desierto por Autoridad
Adscrito;Nivel II;ADP-16169;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Metropolitano;18-12-2022;-;09-03-2023;Desierto por Comité
Adscrito;Nivel II;ADP-16170;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Valparaíso;18-12-2022;-;09-03-2023;Desierto por Comité
Adscrito;Nivel II;ADP-6941;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Subdirector/a de Sistemas de Información y de Administración;30-05-2021;-;13-08-2021;Desierto por Comité
Adscrito;Nivel II;ADP-15458;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Jefe/a Departamento Clientes y Entornos;22-01-2023;-;17-04-2023;Desierto por Comité
Adscrito;Nivel II;ADP-5686;Ministerio del Trabajo y Previsión Social;Superintendencia de Pensiones;Intendente/a de Regulación de Prestadores Públicos y Privados;04-10-2020;17-12-2020;29-12-2020;Desierto por Autoridad
Adscrito;Nivel II;ADP-7932;Ministerio de Salud;Centro de Referencia de Salud de Maipú;Subdirector/a Gestión Clinica;21-11-2021;25-01-2022;18-02-2022;Desierto por Autoridad
Adscrito;Nivel II;ADP-3925;Ministerio de Salud;Servicio de Salud O'Higgins;Subdirector/a Administrativo/a Hospital Regional Libertador Bernardo OHiggins;26-05-2019;14-08-2019;24-09-2019;Desierto por Autoridad
Adscrito;Nivel II;ADP-7056;Ministerio de Salud;Servicio de Salud O'Higgins;Subdirector/a Administrativo/a Servicio de Salud;13-06-2021;-;19-08-2021;Desierto por Comité
Adscrito;Nivel II;ADP-4526;Ministerio de Salud;Servicio de Salud Metropolitano Sur-Oriente;Director/a Hospital de San José del Maipo;11-11-2018;28-01-2019;07-02-2019;Desierto por Autoridad
Adscrito;Nivel II;ADP-5265;Ministerio de Salud;Superintendencia de Salud;Jefe/a de Departamento de Políticas Públicas en Salud;09-10-2022;-;12-01-2023;Desierto por Comité
Adscrito;Nivel II;ADP-12384;Ministerio de Obras Públicas;Dirección de Aeropuertos;Jefe/a de División de Infraestructura Aeroportuaria;15-01-2023;27-03-2023;18-05-2023;Desierto por Autoridad
Adscrito;Nivel II;ADP-3606;Ministerio de Obras Públicas;Superintendencia de Servicios Sanitarios;Jefe/a División Jurídica - Fiscal;05-03-2017;-;15-05-2017;Desierto por Comité
Adscrito;Nivel II;ADP-3842;Ministerio de Obras Públicas;Dirección de Obras Hidráulicas;Subdirector/a de Gestión y Desarrollo;01-07-2018;26-09-2018;13-11-2018;Desierto por Autoridad
Adscrito;Nivel II;ADP-5231;Ministerio de Obras Públicas;Dirección de Obras Portuarias;Jefe/a División de Proyectos;12-01-2020;16-04-2020;17-07-2020;Desierto por Autoridad
Adscrito;Nivel II;ADP-4370;Ministerio de Obras Públicas;Dirección General de Aguas;Jefe/a División Estudios y Planificación;07-04-2019;18-07-2019;21-08-2019;Desierto por Autoridad
