Nivel;Tipo Cargo;Ministerio;Servicio;Nombre Cargo;Fecha Nombramiento;Fecha Inicio Labor;Concurso;Sexo
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Servicio de Salud;06-11-2020;09-11-2020;ADP-5323;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Servicio de Salud;15-02-2023;01-03-2023;ADP-7398;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Servicio de Salud;26-02-2019;01-03-2019;ADP-4292;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Aconcagua;Director/a Servicio de Salud;26-02-2019;01-03-2019;ADP-4223;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Servicio de Salud;31-12-2018;07-01-2019;ADP-4000;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Director/a Servicio de Salud;03-10-2018;22-10-2018;ADP-4022;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Servicio de Salud;29-11-2022;19-12-2022;ADP-13248;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Servicio de Salud;19-06-2017;17-07-2017;ADP-3482;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Servicio de Salud;31-08-2018;25-09-2018;ADP-4001;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Servicio de Salud;11-08-2020;24-08-2020;ADP-5207;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur-Oriente;Director/a Servicio de Salud;05-07-2018;09-07-2018;ADP-3897;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Servicio de Salud;10-02-2023;22-02-2023;ADP-12528;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Servicio de Salud;17-12-2021;01-01-2022;ADP-8045;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Servicio de Salud;31-08-2018;12-09-2018;ADP-4002;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Servicio de Salud;05-10-2022;18-10-2022;ADP-12526;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Servicio de Salud;05-07-2018;09-07-2018;ADP-3974;Hombre
Nivel I;Adscrito;Otros Organismos;Tribunal Tributario Aduanero Región de Ñuble y la Región del Bío-Bío;Secretario/a Abogado/a;04-11-2021;04-11-2021;ADP-6364;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud del Reloncaví;Director/a Servicio de Salud;31-12-2018;02-01-2019;ADP-3855;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;06-06-2023;06-06-2023;ADP-12542;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Aysén;Director/a Servicio de Salud;06-10-2020;26-10-2020;ADP-5353;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a Servicio de Salud;26-07-2023;26-07-2023;ADP-13957;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Aysén;Director/a Servicio de Salud;05-07-2018;09-07-2018;ADP-3976;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a Servicio de Salud;02-10-2020;09-10-2020;ADP-5208;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Norte;Director/a Servicio de Salud;31-12-2018;07-01-2019;ADP-4038;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Director/a Servicio de Salud;05-05-2023;05-05-2023;ADP-12531;Hombre
Nivel I;Adscrito;Ministerio de Salud;Centro de Referencia de Salud de Maipú;Director/a;09-03-2020;15-03-2020;ADP-4910;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Director/a Servicio de Salud;03-10-2018;01-11-2018;ADP-3869;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a Servicio de Salud;09-11-2018;12-11-2018;ADP-4024;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Magallanes;Director/a Servicio de Salud;26-02-2019;07-03-2019;ADP-4007;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Los Ríos;Director/a Servicio de Salud;19-10-2022;28-11-2022;ADP-12015;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Los Ríos;Director/a Servicio de Salud;03-10-2018;25-10-2018;ADP-3812;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud del Reloncaví;Director/a Servicio de Salud;13-12-2022;19-12-2022;ADP-12532;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Servicio de Salud;11-09-2018;01-10-2018;ADP-3999;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Servicio de Salud;27-08-2020;21-09-2020;ADP-5235;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Servicio de Salud;12-12-2022;26-12-2022;ADP-8755;Hombre
Nivel I;Adscrito;Otros Organismos;Consejo para la Transparencia;Director/a Jurídico/a;23-06-2020;01-05-2020;ADP-5263;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;03-10-2018;01-11-2018;ADP-4021;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;10-01-2020;10-01-2020;ADP-4726;Hombre
Nivel I;Adscrito;Ministerio de Salud;Superintendencia de Salud;Superintendente/a;06-12-2019;24-12-2019;ADP-4772;Hombre
Nivel I;Adscrito;Ministerio de Salud;Superintendencia de Salud;Superintendente/a;22-04-2022;22-04-2022;ADP-12868;Hombre
Nivel I;Adscrito;Ministerio de Salud;Superintendencia de Salud;Superintendente/a;10-09-2018;01-10-2018;ADP-4137;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;29-11-2022;01-01-2023;ADP-10566;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;22-08-2019;07-10-2019;ADP-4502;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Magallanes;Director/a Servicio de Salud;20-01-2023;20-02-2023;ADP-10912;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Talcahuano;Director/a Servicio de Salud;05-07-2018;09-07-2018;ADP-3975;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Talcahuano;Director/a Servicio de Salud;24-05-2023;19-06-2023;ADP-10012;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Biobío;Director/a Servicio de Salud;23-02-2021;01-03-2021;ADP-5619;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Servicio de Salud;05-10-2018;16-10-2018;ADP-4005;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Servicio de Salud;11-08-2021;01-09-2021;ADP-7151;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;06-12-2019;19-12-2019;ADP-4727;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;15-03-2023;01-04-2023;ADP-12533;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Director/a Servicio de Salud;08-07-2020;08-07-2020;ADP-5150;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Director/a Servicio de Salud;12-11-2018;14-11-2018;ADP-4257;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Biobío;Director/a Servicio de Salud;08-05-2019;15-05-2019;ADP-4571;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Director/a Servicio de Salud;17-05-2023;06-06-2023;ADP-12529;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Servicio de Salud;08-11-2022;12-12-2022;ADP-12530;Hombre
Nivel I;Adscrito;Otros Organismos;Consejo para la Transparencia;Director/a General;24-07-2019;24-07-2019;ADP-4648;Mujer
Nivel I;Adscrito;Otros Organismos;Consejo para la Transparencia;Director/a General;16-06-2021;16-06-2021;ADP-7656;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Arauco;Director/a Servicio de Salud;24-12-2018;31-12-2018;ADP-4006;Hombre
Nivel I;Adscrito;Ministerio de Salud;Instituto de Salud Pública;Director/a;07-08-2019;07-08-2019;ADP-4651;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Arica y Parinacota;Director Servicio de Salud;05-09-2019;01-10-2019;ADP-4711;Mujer
Nivel I;Adscrito;Ministerio de Salud;Instituto de Salud Pública;Director/a;17-05-2023;17-05-2023;ADP-8342;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Director/a Servicio de Salud;07-11-2018;26-11-2018;ADP-4003;Mujer
Nivel I;Adscrito;Ministerio de Salud;Centro de Referencia de Salud de Maipú;Director/a;11-07-2023;11-07-2023;ADP-12514;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;28-04-2023;28-04-2023;ADP-17068;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;07-04-2017;02-05-2017;ADP-3582;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;07-04-2017;02-05-2017;ADP-3581;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;28-04-2023;28-04-2023;ADP-17069;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;26-12-2019;26-12-2019;ADP-5114;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;07-04-2017;02-05-2017;ADP-3580;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;28-04-2023;28-04-2023;ADP-17070;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Arquitectura;Director/a Nacional;04-01-2023;16-01-2023;ADP-12622;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Aeropuertos;Director/a Nacional;10-04-2023;17-04-2023;ADP-14054;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Instituto Nacional de Hidráulica;Director/a Ejecutivo/a;11-11-2021;16-11-2021;ADP-8467;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Superintendencia de Servicios Sanitarios;Superintendente/a;24-11-2020;01-12-2020;ADP-5284;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Instituto Nacional de Hidráulica;Director/a Ejecutivo/a;07-06-2023;07-06-2023;ADP-12513;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Aeropuertos;Director/a Nacional;20-02-2019;01-03-2019;ADP-4273;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Director/a Servicio de Salud;11-08-2021;19-08-2021;ADP-5807;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Director/a Servicio de Salud;08-11-2022;12-12-2022;ADP-12523;Mujer
Nivel I;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Director/a;11-07-2019;15-07-2019;ADP-4222;Hombre
Nivel I;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Director/a;03-03-2023;13-03-2023;ADP-13171;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Director/a Servicio de Salud;05-09-2019;16-09-2019;ADP-4656;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Vialidad;Director/a Nacional;26-07-2019;01-08-2019;ADP-4615;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Obras Hidráulicas;Director/a Nacional;06-02-2023;13-03-2023;ADP-12374;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Contabilidad y Finanzas;Director/a Nacional;21-11-2018;26-11-2018;ADP-4196;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Obras Hidráulicas;Director/a Nacional;21-12-2018;26-11-2018;ADP-4212;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Vialidad;Director/a Nacional;20-06-2023;20-06-2023;ADP-15314;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Contabilidad y Finanzas;Director/a Nacional;10-04-2023;12-04-2023;ADP-12623;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Obras Portuarias;Director/a Nacional;20-02-2019;01-03-2019;ADP-4294;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Fiscalía del Ministerio de Obras Públicas;Fiscal Nacional;01-07-2018;03-07-2018;ADP-4045;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección General de Aguas;Director/a;08-08-2018;14-08-2018;ADP-4044;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección General de Aguas;Director/a;26-07-2022;01-08-2022;ADP-11160;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Fiscalía del Ministerio de Obras Públicas;Fiscal Nacional;25-04-2022;25-04-2022;ADP-12865;Mujer
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Universitario/a (Trayectoria en Gestión Financiera y Organizacional);26-02-2019;26-02-2019;ADP-4544;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Universitario (Vinculación Universidad distinta Región Metropolitana );26-01-2023;09-02-2023;ADP-8579;Mujer
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Universitario (Vinculación Universidad distinta Región Metropolitana );13-05-2019;16-05-2019;ADP-4546;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Técnico Profesional (Vinculación CFT o IP distinto Región Metropolitana);26-01-2023;09-02-2023;ADP-8577;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Técnico Profesional (Trayectoria en Gestión Financiera y Organizacional);25-01-2022;25-01-2022;ADP-8576;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Técnico Profesional (Vinculación CFT o IP distinto Región Metropolitana);13-05-2019;13-05-2019;ADP-4542;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado Corfo;08-02-2022;08-02-2022;ADP-9303;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Técnico Profesional (Trayectoria en Gestión Financiera y Organizacional);26-02-2019;26-02-2019;ADP-4540;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Universitario/a (Trayectoria en Gestión Financiera y Organizacional);25-01-2022;25-01-2022;ADP-8578;Hombre
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Iquique;Director/a Ejecutivo/a;25-05-2022;27-05-2022;ADP-9595;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado Corfo;05-03-2019;28-02-2019;ADP-4548;Hombre
Nivel I;Adscrito;Ministerio de Educación;Superintendencia de Educación Superior;Superintendente/a;24-01-2023;01-02-2023;ADP-14053;Hombre
Nivel I;Adscrito;Ministerio de Educación;Superintendencia de Educación Superior;Superintendente/a;22-06-2021;21-07-2021;ADP-5007;Hombre
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Gabriela Mistral;Director/a Ejecutivo/a;09-03-2020;16-03-2020;ADP-5003;Hombre
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Llanquihue;Director/a Ejecutivo/a;23-12-2019;13-01-2020;ADP-4817;Mujer
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Chinchorro;Director/a Ejecutivo/a;20-03-2020;23-03-2020;ADP-5001;Hombre
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Andalién Sur;Director/a Ejecutivo/a;20-03-2020;01-04-2020;ADP-5002;Hombre
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Colchagua;Director/a Ejecutivo/a;23-12-2019;13-01-2020;ADP-4835;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado/a Experto en Gestión de Educación Superior-SubSistema Técnico Profesional;25-10-2022;25-10-2022;ADP-13205;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado/a Experto en Gestión de Educación Superior-SubSistema Técnico Profesional;07-04-2019;07-04-2019;ADP-4635;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado/a Experto en Gestión de Educación Superior-SubSistema Universitario;07-04-2019;07-04-2019;ADP-4634;Hombre
Nivel I;Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado/a Experto en Gestión de Educación Superior-SubSistema Universitario;25-11-2022;25-10-2022;ADP-13204;Hombre
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Valparaíso que comprende las Comunas de Valparaíso y Juan Fernandez;Director/a Ejecutivo/a;09-03-2020;16-03-2020;ADP-4947;Hombre
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Atacama;Director/a Ejecutivo/a;09-03-2020;16-03-2020;ADP-4948;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Nacional;07-07-2023;17-07-2023;ADP-15687;Mujer
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Nacional;09-11-2018;26-11-2018;ADP-3836;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Nacional;29-11-2022;13-12-2022;ADP-12270;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Nacional;17-09-2020;02-12-2020;ADP-5282;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Defensoría Penal Pública;Defensor Nacional;19-10-2021;01-11-2021;ADP-8570;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Nacional;09-06-2021;14-06-2021;ADP-6094;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Nacional;31-08-2018;31-08-2018;ADP-3730;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Superintendencia de Seguridad Social;Superintendente/a;19-10-2022;25-10-2022;ADP-12011;Mujer
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Superintendencia de Seguridad Social;Superintendente/a;21-09-2021;01-10-2021;ADP-8198;Mujer
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Director/a Nacional;26-11-2018;07-11-2018;ADP-4184;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Nacional;20-06-2023;20-06-2023;ADP-13947;Mujer
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Nacional;11-08-2021;16-08-2021;ADP-7459;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Director/a Nacional;02-09-2022;05-10-2022;ADP-12010;Mujer
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección General de Crédito Prendario;Director/a General;16-04-2020;01-05-2020;ADP-4881;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Nacional;26-06-2018;28-06-2018;ADP-4042;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Menores;Director/a Nacional;14-10-2020;19-10-2020;ADP-5379;Mujer
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Menores;Director/a Nacional;26-03-2018;06-04-2018;ADP-4066;Mujer
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Magallanes y de la Antártica Chilena;Director Regional Serviu Magallanes;05-08-2022;06-09-2022;ADP-11618;Mujer
Nivel I;Adscrito;Ministerio de Salud;Fondo Nacional de Salud;Director/a Nacional;12-03-2018;13-03-2018;ADP-4071;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Ñuble;Director/a Regional Serviu Ñuble;20-12-2022;01-01-2023;ADP-12931;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Ñuble;Director/a Regional Serviu Ñuble;21-02-2019;01-03-2019;ADP-4396;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Aysén del General Carlos Ibáñez del Campo;Director/a;31-12-2018;21-01-2019;ADP-4083;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Magallanes y de la Antártica Chilena;Director Regional Serviu Magallanes;20-02-2019;01-03-2019;ADP-4082;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;Director/a Regional Serviu Arica y Parinacota;25-01-2019;06-02-2019;ADP-4185;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;Director/a Regional Serviu Arica y Parinacota;23-06-2023;23-06-2023;ADP-12919;Mujer
Nivel I;Adscrito;Ministerio de Salud;Fondo Nacional de Salud;Director/a Nacional;21-04-2022;19-04-2022;ADP-12649;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Antofagasta;Director/a Regional Serviu Antofagasta;02-02-2023;02-02-2023;ADP-10558;Hombre
Nivel I;Adscrito;Ministerio de Minería;Servicio Nacional de Geología y Minería;Director/a Nacional;10-05-2019;31-05-2019;ADP-4495;Hombre
Nivel I;Adscrito;Ministerio de Minería;Comisión Chilena del Cobre;Vicepresidente/a Ejecutivo/a;24-12-2019;03-01-2020;ADP-4911;Hombre
Nivel I;Adscrito;Ministerio de Minería;Servicio Nacional de Geología y Minería;Director/a Nacional;04-01-2023;01-02-2023;ADP-12709;Hombre
Nivel I;Adscrito;Ministerio de Minería;Servicio Nacional de Geología y Minería;Director/a Nacional;06-04-2017;11-04-2017;ADP-3545;Hombre
Nivel I;Adscrito;Ministerio de Transportes y Telecomunicaciones;Junta de Aeronáutica Civil;Secretario/a General;17-09-2019;07-10-2019;ADP-4604;Hombre
Nivel I;Adscrito;Ministerio de Minería;Comisión Chilena del Cobre;Vicepresidente/a Ejecutivo/a;28-02-2023;06-03-2023;ADP-12271;Hombre
Nivel I;Adscrito;Ministerio de Agricultura;Oficina de Estudios y Políticas Agrarias;Director/a Nacional;23-08-2018;30-08-2018;ADP-3994;Mujer
Nivel I;Adscrito;Ministerio de Agricultura;Oficina de Estudios y Políticas Agrarias;Director/a Nacional;11-08-2021;20-08-2021;ADP-7374;Mujer
Nivel I;Adscrito;Ministerio de Agricultura;Oficina de Estudios y Políticas Agrarias;Director/a Nacional;05-10-2022;17-10-2022;ADP-11882;Mujer
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Parque Metropolitano de Santiago;Director/a;20-02-2019;01-03-2019;ADP-4335;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Parque Metropolitano de Santiago;Director/a;29-12-2022;05-12-2022;ADP-11617;Hombre
Nivel I;Adscrito;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Nacional;04-01-2023;04-01-2023;ADP-12273;Hombre
Nivel I;Adscrito;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Nacional;12-08-2020;13-08-2020;ADP-5242;Mujer
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Lagos;Director/a Regional Serviu Los Lagos;08-03-2023;17-03-2023;ADP-12917;Mujer
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Biobío;Director/a Regional Serviu Bío-Bío;08-08-2018;20-08-2018;ADP-4073;Hombre
