Nivel;Adscrito;Ministerio;Servicio;Nombre Cargo;Año Convocatoria;Mes Convocatoria;Concurso;Id Cargo
Nivel I;Adscrito;Ministerio de Energía;Comisión Nacional de Energía;Secretario/a Ejecutivo/a;2022;jun;ADP-12518;I 106
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Superintendencia de Seguridad Social;Superintendente/a;2022;jun;ADP-12011;I 132
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Magallanes;Director/a Servicio de Salud;2022;jul;ADP-10912;I 76
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Antofagasta;Director/a Regional Serviu Antofagasta;2022;jul;ADP-10558;I 80
Nivel I;Adscrito;Ministerio de Educación;Dirección de Educación Pública;Director/a de Educación Pública;2022;may;ADP-12553;I 179
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Los Ríos;Director/a Servicio de Salud;2022;may;ADP-12015;I 72
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Servicio de Salud;2022;may;ADP-8755;I 51
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Servicio de Salud;2022;may;ADP-12526;I 60
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;Director/a Regional Serviu Arica y Parinacota;2022;oct;ADP-12919;I 99
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a Servicio de Salud;2022;oct;ADP-13957;I 73
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Director/a Servicio de Salud;2022;sep;ADP-12531;I 71
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;2022;sep;ADP-12542;I 52
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Talcahuano;Director/a Servicio de Salud;2022;sep;ADP-10012;I 67
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Coquimbo;Director/a Regional Serviu Coquimbo;2022;sep;ADP-12624;I 82
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Lagos;Director/a Regional Serviu Los Lagos;2022;sep;ADP-12917;I 89
Nivel I;Adscrito;Ministerio de Ciencia, Tecnología, Conocimiento e Innovación;Agencia Nacional de Investigación y Desarrollo de Chile;Director/a Nacional;2022;sep;ADP-11883;I 235
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Servicio de Salud;2022;ago;ADP-7398;I 53
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;2022;ago;ADP-12533;I 64
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Director/a Servicio de Salud;2022;ago;ADP-12529;I 65
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Arquitectura;Director/a Nacional;2022;jul;ADP-12622;I 35
Nivel I;Adscrito;Ministerio de las Culturas, las artes y el Patrimonio;Servicio Nacional del Patrimonio Cultural;Director/a Nacional;2022;jul;ADP-12386;I 185
Nivel I;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Secretario/a General;2022;abr;ADP-12269;I 25
Nivel I;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;Director/a Nacional;2022;jun;ADP-12710;I 110
Nivel I;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Vicepresidente/a Ejecutivo/a;2022;jun;ADP-12511;I 24
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Licancabur;Director/a Ejecutivo;2022;jul;ADP-12021;I 257
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Vialidad;Director/a Nacional;2023;ene;ADP-15314;I 39
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;2023;ene;ADP-17068;N 79
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;2023;ene;ADP-17069;N 80
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;2023;feb;ADP-17070;N 81
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región del Maule;Rector/a;2020;dic;ADP-5852;I 154
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región de la Araucanía;Rector/a;2020;dic;ADP-5853;I 156
Nivel I;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de Protección Especializada a la Niñez y Adolescencia;Consejero/a (Abogado experto en materia de protección de derechos de niños, niñas y adolescentes);2021;mar;ADP-7465;I 244
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Técnico Profesional (Trayectoria en Gestión Financiera y Organizacional);2021;sep;ADP-8576;I 196
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Universitario/a (Trayectoria en Gestión Financiera y Organizacional);2021;sep;ADP-8578;I 200
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Defensoría Penal Pública;Defensor Nacional;2021;jul;ADP-8570;I 26
Nivel I;Adscrito;Autónomo;Defensoría de los Derechos de la Niñez;Director/a Unidad de Promoción y Difusión de Derechos;2021;jul;ADP-8493;I 232
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región de Tarapacá;Rector/a;2021;may;ADP-7519;I 147
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región de Coquimbo;Rector/a;2021;may;ADP-7520;I 150
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región de Los Lagos;Rector/a;2021;may;ADP-7521;I 158
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado Corfo;2021;oct;ADP-9303;I 204
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Aysén;Director/a Ejecutivo;2021;nov;ADP-9575;I 261
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Iquique;Director/a Ejecutivo/a;2021;nov;ADP-9595;I 218
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Técnico Profesional (Vinculación CFT o IP distinto Región Metropolitana);2021;dic;ADP-8577;I 198
Nivel I;Adscrito;Ministerio de Educación;Comisión Nacional de Acreditación;Comisionado/a Universitario (Vinculación Universidad distinta Región Metropolitana );2021;dic;ADP-8579;I 202
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;2016;dic;ADP-3580;N 81
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;2016;dic;ADP-3581;N 80
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;2016;dic;ADP-3582;N 79
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región de Tarapacá;Rector/a;2017;may;ADP-3657;I 147
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región de Coquimbo;Rector/a;2017;may;ADP-3658;I 150
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región de Los Lagos;Rector/a;2017;may;ADP-3659;I 158
Nivel I;Adscrito;Ministerio de Relaciones Exteriores;Instituto Antártico Chileno;Director/a;2017;may;ADP-3648;I 4
Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Unidad Administración y Finanzas;2017;abr;ADP-3631;N 87
Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Unidad Estudios;2017;abr;ADP-3630;N 84
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región de Valparaíso;Rector/a;2017;oct;ADP-3785;I 151
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región de Los Ríos;Rector/a;2017;oct;ADP-3766;I 157
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región del Maule;Rector/a;2017;ene;ADP-3594;I 154
Nivel I;Adscrito;Autónomo;Centro de Formación Técnica de la Región de la Araucanía;Rector/a;2017;ene;ADP-3595;I 156
Nivel I;No Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;2018;mar;ADP-3928;N 77
Nivel I;No Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Regional, Región Los Ríos;2019;ene;ADP-4517;I 143
Nivel I;No Adscrito;Otros Organismos;Tribunal Tributario Aduanero Región Los Lagos;Secretario/a Abogado/a Región Los Lagos;2019;abr;ADP-4349;N 32
Nivel I;No Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado/a Experto en Gestión de Educación Superior-SubSistema Universitario;2019;mar;ADP-4633;I 207
Nivel I;No Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado/a Experto en Regulación Economica;2019;mar;ADP-4637;I 211
Nivel I;No Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado/a Experto en Regulación;2019;mar;ADP-4639;I 213
Nivel I;No Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado;2019;mar;ADP-4638;I 212
Nivel I;No Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado;2019;mar;ADP-4636;I 210
Nivel I;No Adscrito;Otros Organismos;Tercer Tribunal Ambiental;Ministro/a Titular Abogado/a;2019;may;ADP-4617;I 123
Nivel I;No Adscrito;Autónomo;Centro de Formación Técnica de la Región de Atacama;Rector/a;2019;oct;ADP-4784;I 149
Nivel I;No Adscrito;Ministerio de Transportes y Telecomunicaciones;Panel de Expertos Ministerio Transportes y Telecomunicaciones;Integrante Panel de Expertos;2022;mar;ADP-11349;N 47
Nivel I;No Adscrito;Ministerio de Transportes y Telecomunicaciones;Panel de Expertos Ministerio Transportes y Telecomunicaciones;Suplente Panel de Expertos;2022;mar;ADP-11350;N 49
Nivel I;No Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Reinserción Social Juvenil;Consejero Abogado Experto en Materia de Justicia Juvenil;2023;feb;ADP-17369;I 284
Nivel I;No Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Reinserción Social Juvenil;Consejero Profesional de las Ciencias Sociales;2023;feb;ADP-17370;I 285
Nivel I;No Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Reinserción Social Juvenil;Consejero Profesional del Área de Educación;2023;feb;ADP-17371;I 286
Nivel I;No Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Reinserción Social Juvenil;Consejero Profesional de la Salud Mental;2023;feb;ADP-17372;I 287
Nivel I;No Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;2020;ene;ADP-5222;N 77
Nivel I;No Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;2020;ene;ADP-5225;N 78
Nivel I;No Adscrito;Ministerio de Educación;Consejo Nacional de Educación;Consejero/a, Académico o Profesional de reconocido prestigio en el área de la educación parvularia;2020;ago;ADP-5497;N 52
Nivel I;No Adscrito;Ministerio de Educación;Consejo Nacional de Educación;Consejero/a, Académico o Profesional de reconocido prestigio en el área de la educación básica;2020;ago;ADP-5498;N 53
Nivel I;No Adscrito;Autónomo;Centro de Formación Técnica de la Región del Bío Bío;Rector/a;2020;abr;ADP-5099;I 155
Nivel I;No Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Consejero/a;2021;dic;ADP-10043;N 93
Nivel I;No Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Consejero/a Reconocido Prestigio Educación Parvularia;2021;dic;ADP-10041;N 91
Nivel I;No Adscrito;Otros Organismos;Tercer Tribunal Ambiental;Ministro/a Titular Licenciado/a en Ciencias;2017;mar;ADP-3517;I 125
Nivel I;No Adscrito;Ministerio de Transportes y Telecomunicaciones;Panel de Expertos Ministerio Transportes y Telecomunicaciones;Integrante Panel de Expertos;2017;oct;ADP-3793;N 48
Nivel I;No Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Regional Región Ohiggins;2017;nov;ADP-3838;I 178
Nivel I;No Adscrito;Otros Organismos;Tercer Tribunal Ambiental;Ministro/a Titular Abogado/a;2017;ene;ADP-3609;I 124
Nivel II;Adscrito;Ministerio de la Mujer y la Equidad de Género;Servicio Nacional de la Mujer y la Equidad de Género;Director/a Regional Valparaíso;2018;ago;ADP-3863;II 1128
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Regional Arica y Parinacota;2018;ago;ADP-3825;II 669
Nivel II;Adscrito;Ministerio de la Mujer y la Equidad de Género;Servicio Nacional de la Mujer y la Equidad de Género;Director/a Regional Magallanes;2018;oct;ADP-3797;II 1137
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Los Ríos;2018;oct;ADP-4061;II 823
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Instituto Nacional de la Juventud;Director/a Regional Bío Bío;2018;jun;ADP-3960;II 1261
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Menores;Director/a Regional Los Ríos;2018;jun;ADP-4216;II 1280
Nivel II;Adscrito;Ministerio de Obras Públicas;Fiscalía del Ministerio de Obras Públicas;Jefe/a División Expropiaciones;2018;dic;ADP-4244;II 334
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Arica y Parinacota;Subdirector/a Administrativo/a Servicio de Salud;2018;dic;ADP-4481;II 363
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Aysén;2018;oct;ADP-4465;II 919
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Regional Región de Ñuble;2018;oct;ADP-4366;II 1501
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Jefe/a División Canales de Atención a Clientes;2018;oct;ADP-4319;II 762
Nivel II;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Metropolitano;Subirector/a Juridico;2018;oct;ADP-4486;II 1226
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Valparaíso;2018;jul;ADP-4311;II 296
Nivel II;Adscrito;Ministerio de Salud;Fondo Nacional de Salud;Director/a Zonal Norte;2018;jul;ADP-3986;II 1449
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Director/a Regional Los Lagos;2018;oct;ADP-4427;II 105
Nivel II;Adscrito;Ministerio de Energía;Comisión Nacional de Energía;Jefe/a Departamento Función Eléctrico;2018;oct;ADP-4360;II 789
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Menores;Director/a Regional Bío Bío;2018;oct;ADP-4389;II 1278
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Regional Atacama;2018;sep;ADP-4153;II 142
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Regional Coquimbo;2018;sep;ADP-3970;II 133
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Arica y Parinacota;Director/a Hospital Dr. Juan Noé Crevani de Arica;2018;sep;ADP-4265;II 366
Nivel II;Adscrito;Ministerio de Hacienda;Servicio Nacional de Aduanas;Subdirector/a Función Administrativo/a;2018;may;ADP-3922;II 67
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Menores;Director/a Regional Arica y Parinacota;2018;may;ADP-3784;II 1269
Nivel II;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Metropolitano;Subdirector/a de Pavimentación y Obras Viales;2018;may;ADP-3777;II 1223
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Jefe/a Departamento Administración y Finanzas;2018;jun;ADP-3929;II 292
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Maule;2018;jun;ADP-4060;II 633
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Hospital San Juan de Dios;2018;abr;ADP-3769;II 454
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Libertador Bernardo O'Higgins;2018;abr;ADP-3809;II 819
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Hospital de Quilpué;2018;may;ADP-3853;II 407
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Hospital de San Fernando;2018;may;ADP-4139;II 490
Nivel II;Adscrito;Ministerio de Energía;Superintendencia de Electricidad y Combustibles;Director/a Regional Región de Ñuble;2018;oct;ADP-4402;II 1498
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Norte;Director/a Atención Primaria;2018;oct;ADP-4077;II 540
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Arauco;Jefe/a Departamento Auditoría;2018;oct;ADP-3937;II 532
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Corporación de Fomento de la Producción;Gerente/a Inversión y Financiamiento;2018;sep;ADP-4316;II 1287
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Instituto Nacional de la Juventud;Director/a Regional Antofagasta;2018;jul;ADP-3963;II 1254
Nivel II;Adscrito;Ministerio de Defensa Nacional;Dirección General de Aeronáutica Civil;Director/a del Departamento de Seguridad Operacional;2018;ene;ADP-3831;II 38
Nivel II;Adscrito;Ministerio de Defensa Nacional;Dirección General de Aeronáutica Civil;Director/a del Departamento de Auditoría Interna;2018;ene;ADP-3832;II 39
Nivel II;Adscrito;Ministerio de Energía;Superintendencia de Electricidad y Combustibles;Director/a Regional Valparaíso;2018;ene;ADP-3691;II 168
Nivel II;Adscrito;Ministerio de Energía;Superintendencia de Electricidad y Combustibles;Director/a Regional Aysén;2018;ene;ADP-3693;II 171
Nivel II;Adscrito;Ministerio de Energía;Superintendencia de Electricidad y Combustibles;Director/a Regional Bío - Bío;2018;ene;ADP-3694;II 162
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Menores;Director/a Regional Valparaíso;2018;ene;ADP-3880;II 1274
Nivel II;Adscrito;Ministerio de Energía;Superintendencia de Electricidad y Combustibles;Director/a Regional Los Lagos;2018;jun;ADP-3977;II 170
Nivel II;Adscrito;Ministerio de Salud;Instituto de Salud Pública;Jefe/a Departamento de Administración y Finanzas;2018;ago;ADP-4040;II 362
Nivel II;Adscrito;Ministerio de la Mujer y la Equidad de Género;Servicio Nacional de la Mujer y la Equidad de Género;Director/a Regional Araucanía;2018;jul;ADP-3866;II 1133
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Director/a Regional Tesorero/a Región del Bío-Bío;2018;nov;ADP-3561;II 62
Nivel II;Adscrito;Ministerio de Hacienda;Servicio Nacional de Aduanas;Director/a Regional de Aduana Antofagasta, Región de Antofagasta;2018;dic;ADP-4457;II 76
Nivel II;Adscrito;Ministerio de las Culturas, las artes y el Patrimonio;Servicio Nacional del Patrimonio Cultural;Director/a Regional de Los Lagos;2018;dic;ADP-4488;II 1481
Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección de Arquitectura;Subdirector/a de Arquitectura;2018;jun;ADP-4092;II 315
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Jefe/a Departamento Gestión de Programas;2018;jul;ADP-4264;II 173
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Jefe/a Departamento Auditoría;2018;sep;ADP-3908;II 697
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Fiscalía Nacional Económica;Jefe/a División Anticarteles;2018;abr;ADP-3893;II 1151
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Menores;Director/a Regional Araucanía;2018;abr;ADP-3789;II 1279
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Menores;Director/a Regional Antofagasta;2018;may;ADP-3847;II 1271
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Araucanía;2018;jun;ADP-3267;II 635
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Hospital Dr. Humberto Elorza Cortés de Illapel;2019;ago;ADP-4971;II 391
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación de Puerto Cordillera;Jefe/a de Unidad Apoyo Técnico Pedagógico;2019;may;ADP-4758;II 1455
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación de Puerto Cordillera;Jefe/a de Unidad Administración y Finanzas;2019;may;ADP-4762;II 1459
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación de Barrancas;Jefe/a de Unidad Apoyo Técnico Pedagógico;2019;may;ADP-4757;II 1454
Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección de Vialidad;Subdirector/a de Desarrollo;2019;may;ADP-4613;II 326
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Subdirector/a Administrativo/a Servicio de Salud;2019;may;ADP-4739;II 440
Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección General de Aguas;Jefe/a División de Hidrología;2019;jun;ADP-4774;II 331
Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección General de Concesiones de Obras Públicas;Jefe/a de División de Operaciones;2019;jul;ADP-4770;II 1514
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Biobío;Subdirector/a Administrativo/a Servicio de Salud;2019;ago;ADP-4926;II 527
Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección de Arquitectura;Jefe/a de División de Edificación Pública;2019;sep;ADP-5025;II 316
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Valparaíso que comprende las Comunas de Valparaíso y Juan Fernandez;Directivo/a Jefe/a de Administración y Finanzas.;2019;dic;ADP-5201;II 1580
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Subdirector/a Administrativo/a Hospital del Salvador;2019;mar;ADP-4616;II 430
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Biobío;Director/a Atención Primaria;2019;jun;ADP-4477;II 726
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Subdirector/a Administrativo/a Servicio de Salud;2019;sep;ADP-5004;II 386
Nivel II;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;Director/a Regional Antofagasta;2022;ago;ADP-10239;II 845
Nivel II;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;Director/a Regional Coquimbo;2022;ago;ADP-10568;II 847
Nivel II;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;Director/a Regional Metropolitano/a;2022;ago;ADP-13253;II 849
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Metropolitano/a;2022;ago;ADP-12991;II 912
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Bío Bío;2022;ago;ADP-12994;II 915
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Corporación de Fomento de la Producción;Gerente/a Inversión y Financiamiento;2022;ago;ADP-14528;II 1287
Nivel II;Adscrito;Ministerio de las Culturas, las artes y el Patrimonio;Servicio Nacional del Patrimonio Cultural;Director/a Regional Valparaíso;2022;ago;ADP-8548;II 1472
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Bío-Bío;2022;dic;ADP-15045;II 299
Nivel II;Adscrito;Otros Organismos;Servicio Electoral;Director/a Regional Ohiggins;2022;dic;ADP-14524;II 780
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Jefe/a División Función Personal;2022;dic;ADP-9024;II 50
