index;Year_Convocatoria;Nivel;Ministerio;Servicio;Region;Estado;Concursos
27;2005.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de Metropolitana de Santiago;Nombrado;4
28;2005.0;II;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Región de  Atacama;Nombrado;1
29;2005.0;II;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Región de Magallanes y de la Antártica Chilena;Nombrado;1
30;2005.0;II;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Región de Metropolitana de Santiago;Desierto;1
31;2005.0;II;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Región de Metropolitana de Santiago;Nombrado;1
32;2005.0;II;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Región de la Araucanía;Nombrado;1
33;2005.0;II;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Región del Biobío;Nombrado;1
34;2005.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Metropolitana de Santiago;Desierto;2
35;2005.0;II;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Región de Metropolitana de Santiago;Nombrado;1
36;2005.0;II;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Región de Metropolitana de Santiago;Nombrado;3
37;2005.0;II;Ministerio de Salud;Servicio de Salud Aconcagua;Región de  Valparaíso;Nombrado;1
38;2005.0;II;Ministerio de Salud;Servicio de Salud Araucanía Norte;Región de la Araucanía;Desierto;3
39;2005.0;II;Ministerio de Salud;Servicio de Salud Araucanía Sur;Región de la Araucanía;Desierto;4
40;2005.0;II;Ministerio de Salud;Servicio de Salud Araucanía Sur;Región de la Araucanía;Nombrado;2
41;2005.0;II;Ministerio de Salud;Servicio de Salud Concepción;Región del Biobío;Desierto;3
42;2005.0;II;Ministerio de Salud;Servicio de Salud Iquique;Región de Tarapacá;Desierto;1
43;2005.0;II;Ministerio de Salud;Servicio de Salud Magallanes;Región de Magallanes y de la Antártica Chilena;Desierto;1
44;2005.0;II;Ministerio de Salud;Servicio de Salud Maule;Región del Maule;Desierto;2
45;2005.0;II;Ministerio de Salud;Servicio de Salud Metropolitano Central;Región de Metropolitana de Santiago;Nombrado;2
46;2005.0;II;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Región de Metropolitana de Santiago;Nombrado;3
47;2005.0;II;Ministerio de Salud;Servicio de Salud O'Higgins;Región del Libertador General Bernardo OHiggins;Nombrado;1
48;2005.0;II;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Región de  Valparaíso;Desierto;5
49;2005.0;II;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Región de  Valparaíso;Nombrado;2
50;2005.0;II;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;Región de  Valparaíso;Desierto;1
51;2005.0;II;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;Región de  Valparaíso;Nombrado;3
52;2005.0;II;Ministerio de Salud;Servicio de Salud del Reloncaví;Región de Los Lagos;Desierto;3
53;2005.0;II;Ministerio de Salud;Servicio de Salud del Reloncaví;Región de Los Lagos;Nombrado;1
54;2005.0;II;Ministerio de Salud;Superintendencia de Salud;Región de Metropolitana de Santiago;Nombrado;1
55;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Región de  Valparaíso;Nombrado;1
56;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Región de Los Lagos;Nombrado;1
57;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Región de Magallanes y de la Antártica Chilena;Nombrado;1
58;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Región de Metropolitana de Santiago;Nombrado;1
59;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Región de la Araucanía;Nombrado;1
60;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Región del Biobío;Nombrado;1
61;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Región del Libertador General Bernardo OHiggins;Nombrado;1
62;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Región del Maule;Nombrado;1
63;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Región de  Atacama;Nombrado;1
64;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Región de  Coquimbo;Nombrado;1
65;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Región de Antofagasta;Nombrado;1
66;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;1
67;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Región de Tarapacá;Nombrado;1
68;2005.0;II;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Región de Metropolitana de Santiago;Nombrado;1
69;2005.0;II;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Región de  Coquimbo;Nombrado;1
70;2005.0;II;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Región de  Valparaíso;Desierto;1
71;2005.0;II;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Región de Metropolitana de Santiago;Desierto;1
72;2005.0;II;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Región de la Araucanía;Nombrado;1
73;2006.0;I;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Región de Metropolitana de Santiago;Nombrado;1
74;2006.0;I;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de Metropolitana de Santiago;Desierto;1
75;2006.0;I;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de Metropolitana de Santiago;Nombrado;1
76;2006.0;I;Ministerio de Obras Públicas;Superintendencia de Servicios Sanitarios;Región de Metropolitana de Santiago;Nombrado;1
77;2006.0;I;Ministerio de Salud;Servicio de Salud Aconcagua;Región de  Valparaíso;Nombrado;1
78;2006.0;I;Ministerio de Salud;Servicio de Salud Antofagasta;Región de Antofagasta;Nombrado;1
79;2006.0;I;Ministerio de Salud;Servicio de Salud Araucanía Norte;Región de la Araucanía;Nombrado;1
80;2006.0;I;Ministerio de Salud;Servicio de Salud Araucanía Sur;Región de la Araucanía;Nombrado;1
81;2006.0;I;Ministerio de Salud;Servicio de Salud Arica;Región de Arica y Parinacota;Nombrado;1
82;2006.0;I;Ministerio de Salud;Servicio de Salud Atacama;Región de  Atacama;Nombrado;1
83;2006.0;I;Ministerio de Salud;Servicio de Salud Aysén;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;1
84;2006.0;I;Ministerio de Salud;Servicio de Salud Biobío;Región del Biobío;Nombrado;1
85;2006.0;I;Ministerio de Salud;Servicio de Salud Coquimbo;Región de  Coquimbo;Nombrado;1
86;2006.0;I;Ministerio de Salud;Servicio de Salud Iquique;Región de Tarapacá;Desierto;1
87;2006.0;I;Ministerio de Salud;Servicio de Salud Magallanes;Región de Magallanes y de la Antártica Chilena;Nombrado;1
88;2006.0;I;Ministerio de Salud;Servicio de Salud Maule;Región del Maule;Desierto;2
89;2006.0;I;Ministerio de Salud;Servicio de Salud Metropolitano Central;Región de Metropolitana de Santiago;Nombrado;1
90;2006.0;I;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Región de Metropolitana de Santiago;Nombrado;1
91;2006.0;I;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Región de Metropolitana de Santiago;Nombrado;1
92;2006.0;I;Ministerio de Salud;Servicio de Salud Metropolitano Sur Oriente;Región de Metropolitana de Santiago;Nombrado;1
93;2006.0;I;Ministerio de Salud;Servicio de Salud O'Higgins;Región del Libertador General Bernardo OHiggins;Nombrado;1
94;2006.0;I;Ministerio de Salud;Servicio de Salud Osorno;Región de Los Lagos;Nombrado;1
95;2006.0;I;Ministerio de Salud;Servicio de Salud Talcahuano;Región del Biobío;Nombrado;1
96;2006.0;I;Ministerio de Salud;Servicio de Salud Valdivia;Región de Los Ríos;Nombrado;1
97;2006.0;I;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;Región de  Valparaíso;Nombrado;1
98;2006.0;I;Ministerio de Salud;Servicio de Salud del Reloncaví;Región de Los Lagos;Nombrado;1
99;2006.0;I;Ministerio de Salud;Servicio de Salud Ñuble;Región del Ñuble;Nombrado;1
100;2006.0;I;Ministerio de Salud;Superintendencia de Salud;Región de Metropolitana de Santiago;Nombrado;1
101;2006.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Antofagasta;Región de Antofagasta;Nombrado;1
102;2006.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Aysén del General Carlos Ibáñez del Campo;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;1
103;2006.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Región de Tarapacá;Desierto;1
104;2006.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Libertador General Bernardo O'Higgins;Región del Libertador General Bernardo OHiggins;Nombrado;1
105;2006.0;I;Ministerio del Interior y Seguridad Pública;Oficina Nacional de Emergencia;Región de Metropolitana de Santiago;Nombrado;1
106;2006.0;I;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Región de Metropolitana de Santiago;Nombrado;1
107;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de  Atacama;Nombrado;1
108;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de  Coquimbo;Nombrado;1
109;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de  Valparaíso;Nombrado;1
110;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de Arica y Parinacota;Nombrado;1
111;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de Aysén del General Carlos Ibañez del Campo;Desierto;1
112;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de Los Lagos;Nombrado;1
113;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de Magallanes y de la Antártica Chilena;Nombrado;1
114;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de Metropolitana de Santiago;Nombrado;7
115;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de la Araucanía;Nombrado;1
116;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región del Biobío;Nombrado;1
117;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región del Libertador General Bernardo OHiggins;Nombrado;1
118;2006.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región del Maule;Nombrado;1
119;2006.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de  Coquimbo;Nombrado;1
120;2006.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;1
121;2006.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Metropolitana de Santiago;Nombrado;3
122;2006.0;II;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Región de Metropolitana de Santiago;Nombrado;1
123;2006.0;II;Ministerio de Hacienda;Superintendencia de Casinos de Juego;Región de Metropolitana de Santiago;Nombrado;1
124;2006.0;II;Ministerio de Hacienda;Unidad de Análisis Financiero;Región de Metropolitana de Santiago;Desierto;2
125;2006.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de Metropolitana de Santiago;Desierto;1
126;2006.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de Metropolitana de Santiago;Nombrado;2
127;2006.0;II;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Región de Metropolitana de Santiago;Nombrado;1
128;2006.0;II;Ministerio de Salud;Servicio de Salud Antofagasta;Región de Antofagasta;Desierto;3
129;2006.0;II;Ministerio de Salud;Servicio de Salud Antofagasta;Región de Antofagasta;Nombrado;2
130;2006.0;II;Ministerio de Salud;Servicio de Salud Araucanía Norte;Región de la Araucanía;Desierto;3
131;2006.0;II;Ministerio de Salud;Servicio de Salud Araucanía Norte;Región de la Araucanía;Nombrado;3
132;2006.0;II;Ministerio de Salud;Servicio de Salud Araucanía Sur;Región de la Araucanía;Nombrado;3
133;2006.0;II;Ministerio de Salud;Servicio de Salud Arauco;Región del Biobío;Desierto;4
134;2006.0;II;Ministerio de Salud;Servicio de Salud Atacama;Región de  Atacama;Desierto;1
135;2006.0;II;Ministerio de Salud;Servicio de Salud Atacama;Región de  Atacama;Nombrado;1
136;2006.0;II;Ministerio de Salud;Servicio de Salud Aysén;Región de Aysén del General Carlos Ibañez del Campo;Desierto;3
137;2006.0;II;Ministerio de Salud;Servicio de Salud Aysén;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;2
138;2006.0;II;Ministerio de Salud;Servicio de Salud Biobío;Región del Biobío;Nombrado;1
139;2006.0;II;Ministerio de Salud;Servicio de Salud Chiloé;Región de Los Lagos;Desierto;1
140;2006.0;II;Ministerio de Salud;Servicio de Salud Chiloé;Región de Los Lagos;Nombrado;2
141;2006.0;II;Ministerio de Salud;Servicio de Salud Concepción;Región del Biobío;Desierto;1
142;2006.0;II;Ministerio de Salud;Servicio de Salud Concepción;Región del Biobío;Nombrado;5
143;2006.0;II;Ministerio de Salud;Servicio de Salud Coquimbo;Región de  Coquimbo;Desierto;2
144;2006.0;II;Ministerio de Salud;Servicio de Salud Iquique;Región de Tarapacá;Desierto;1
145;2006.0;II;Ministerio de Salud;Servicio de Salud Magallanes;Región de Magallanes y de la Antártica Chilena;Desierto;1
146;2006.0;II;Ministerio de Salud;Servicio de Salud Magallanes;Región de Magallanes y de la Antártica Chilena;Nombrado;1
147;2006.0;II;Ministerio de Salud;Servicio de Salud Maule;Región del Maule;Nombrado;1
148;2006.0;II;Ministerio de Salud;Servicio de Salud Metropolitano Central;Región de Metropolitana de Santiago;Nombrado;1
149;2006.0;II;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Región de Metropolitana de Santiago;Nombrado;3
150;2006.0;II;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Región de Metropolitana de Santiago;Desierto;1
151;2006.0;II;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Región de Metropolitana de Santiago;Nombrado;3
152;2006.0;II;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Región de Metropolitana de Santiago;Nombrado;1
153;2006.0;II;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Región de Metropolitana de Santiago;Desierto;2
154;2006.0;II;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Región de Metropolitana de Santiago;Nombrado;2
155;2006.0;II;Ministerio de Salud;Servicio de Salud O'Higgins;Región del Libertador General Bernardo OHiggins;Desierto;2
156;2006.0;II;Ministerio de Salud;Servicio de Salud O'Higgins;Región del Libertador General Bernardo OHiggins;Nombrado;2
157;2006.0;II;Ministerio de Salud;Servicio de Salud Talcahuano;Región del Biobío;Desierto;1
158;2006.0;II;Ministerio de Salud;Servicio de Salud Valdivia;Región de Los Ríos;Nombrado;1
159;2006.0;II;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Región de  Valparaíso;Desierto;1
160;2006.0;II;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Región de  Valparaíso;Nombrado;2
161;2006.0;II;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;Región de  Valparaíso;Desierto;1
162;2006.0;II;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;Región de  Valparaíso;Nombrado;1
163;2006.0;II;Ministerio de Salud;Servicio de Salud del Reloncaví;Región de Los Lagos;Desierto;3
164;2006.0;II;Ministerio de Salud;Servicio de Salud del Reloncaví;Región de Los Lagos;Nombrado;1
165;2006.0;II;Ministerio de Salud;Superintendencia de Salud;Región de Metropolitana de Santiago;Nombrado;4
166;2006.0;II;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Región de  Atacama;Desierto;1
167;2006.0;II;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Región de  Valparaíso;Nombrado;1
168;2006.0;II;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Región de Metropolitana de Santiago;Nombrado;1
169;2007.0;I;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;Región de Metropolitana de Santiago;Nombrado;1
170;2007.0;I;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Región de Metropolitana de Santiago;Desierto;1
171;2007.0;I;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Región de Metropolitana de Santiago;Nombrado;1
172;2007.0;I;Ministerio de Desarrollo Social y Familia;Servicio Nacional de la Discapacidad;Región de Metropolitana de Santiago;Nombrado;1
173;2007.0;I;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Región de  Valparaíso;Nombrado;1
174;2007.0;I;Ministerio de Energía;Comisión Chilena de Energía Nuclear;Región de Metropolitana de Santiago;Nombrado;1
175;2007.0;I;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Región de Metropolitana de Santiago;Nombrado;1
176;2007.0;I;Ministerio de Minería;Servicio Nacional de Geología y Minería;Región de Metropolitana de Santiago;Nombrado;1
177;2007.0;I;Ministerio de Relaciones Exteriores;Agencia Chilena de Cooperación Internacional para el Desarrollo;Región de Metropolitana de Santiago;Nombrado;1
178;2007.0;I;Ministerio de Relaciones Exteriores;Instituto Antártico Chileno;Región de Magallanes y de la Antártica Chilena;Desierto;1
179;2007.0;I;Ministerio de Salud;Servicio de Salud Iquique;Región de Tarapacá;Nombrado;1
180;2007.0;I;Ministerio de Salud;Servicio de Salud Maule;Región del Maule;Nombrado;1
181;2007.0;I;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Región de  Valparaíso;Nombrado;1
182;2007.0;I;Ministerio de Vivienda y Urbanismo;Parque Metropolitano de Santiago;Región de Metropolitana de Santiago;Nombrado;1
183;2007.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;Región de Arica y Parinacota;Nombrado;1
184;2007.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Lagos;Región de Los Lagos;Nombrado;1
185;2007.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Ríos;Región de Los Ríos;Nombrado;1
186;2007.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Región de Tarapacá;Nombrado;1
187;2007.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Valparaíso;Región de  Valparaíso;Desierto;1
188;2007.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Maule;Región del Maule;Nombrado;1
189;2007.0;I;Ministerio del Trabajo y Previsión Social;Dirección General de Crédito Prendario;Región de Metropolitana de Santiago;Nombrado;1
190;2007.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;1
191;2007.0;II;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;1
192;2007.0;II;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Región de Metropolitana de Santiago;Desierto;1
193;2007.0;II;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Región de Metropolitana de Santiago;Nombrado;2
194;2007.0;II;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Región de Tarapacá;Nombrado;1
195;2007.0;II;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Región del Maule;Nombrado;1
196;2007.0;II;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Región de Tarapacá;Nombrado;1
197;2007.0;II;Ministerio de Economía, Fomento y Turismo;Superintendencia de Insolvencia y Reemprendimiento;Región de Metropolitana de Santiago;Nombrado;1
198;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de  Atacama;Desierto;1
199;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de  Atacama;Nombrado;1
200;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de  Valparaíso;Nombrado;1
201;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Los Lagos;Nombrado;1
202;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Magallanes y de la Antártica Chilena;Nombrado;1
203;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Metropolitana de Santiago;Nombrado;2
204;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Tarapacá;Nombrado;1
205;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de la Araucanía;Nombrado;1
206;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región del Biobío;Nombrado;1
207;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región del Libertador General Bernardo OHiggins;Desierto;1
208;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región del Libertador General Bernardo OHiggins;Nombrado;1
209;2007.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región del Maule;Nombrado;1
210;2007.0;II;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Región de Metropolitana de Santiago;Nombrado;1
211;2007.0;II;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Región de Metropolitana de Santiago;Desierto;1
212;2007.0;II;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Región de Metropolitana de Santiago;Nombrado;2
213;2007.0;II;Ministerio de Hacienda;Unidad de Análisis Financiero;Región de Metropolitana de Santiago;Nombrado;2
214;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de  Atacama;Desierto;1
215;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de  Coquimbo;Desierto;1
216;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de  Valparaíso;Desierto;1
217;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de Antofagasta;Desierto;1
218;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de Aysén del General Carlos Ibañez del Campo;Desierto;1
219;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de Los Lagos;Desierto;1
220;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de Magallanes y de la Antártica Chilena;Desierto;1
221;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de Metropolitana de Santiago;Desierto;2
222;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de Tarapacá;Desierto;1
223;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región de la Araucanía;Desierto;1
224;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región del Biobío;Desierto;1
225;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región del Libertador General Bernardo OHiggins;Desierto;1
226;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Región del Maule;Desierto;1
227;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Región de Arica y Parinacota;Nombrado;1
228;2007.0;II;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Región de Los Ríos;Nombrado;1
229;2007.0;II;Ministerio de Obras Públicas;Dirección de Obras Hidráulicas;Región de Metropolitana de Santiago;Nombrado;1
