id Cargo;RBD;Adscrito;Nivel;MINISTERIO;SERVICIO;Entidad;Cargo;Region
I 49;;S;I;Salud;Servicio de Salud Arica;;Director/a Servicio de Salud;Arica y Parinacota
I 5;;S;I;Defensa;Caja de Previsión de la Defensa Nacional;;Vicepresidente/a Ejecutivo/a;Metropolitana
I 50;;S;I;Salud;Servicio de Salud Iquique;;Director/a Servicio de Salud;Tarapacá
I 51;;S;I;Salud;Servicio de Salud Antofagasta;;Director/a Servicio de Salud;Antofagasta
I 52;;S;I;Salud;Servicio de Salud Atacama;;Director/a Servicio de Salud;Atacama
I 53;;S;I;Salud;Servicio de Salud Coquimbo;;Director/a Servicio de Salud;Coquimbo
I 54;;S;I;Salud;Servicio de Salud Aconcagua;;Director/a Servicio de Salud;Valparaíso
I 55;;S;I;Salud;Servicio de Salud Viña del Mar - Quillota;;Director/a Servicio de Salud;Valparaíso
I 56;;S;I;Salud;Servicio de Salud Valparaíso - San Antonio;;Director/a Servicio de Salud;Valparaíso
I 57;;S;I;Salud;Servicio de Salud Metropolitano Norte;;Director/a Servicio de Salud;Metropolitana
I 58;;S;I;Salud;Servicio de Salud Metropolitano Oriente;;Director/a Servicio de Salud;Metropolitana
I 59;;S;I;Salud;Servicio de Salud Metropolitano Central;;Director/a Servicio de Salud;Metropolitana
I 60;;S;I;Salud;Servicio de Salud Metropolitano Occidente;;Director/a Servicio de Salud;Metropolitana
I 61;;S;I;Salud;Servicio de Salud Metropolitano Sur;;Director/a Servicio de Salud;Metropolitana
I 62;;S;I;Salud;Servicio de Salud Metropolitano Suroriente;;Director/a Servicio de Salud;Metropolitana
I 63;;S;I;Salud;Servicio de Salud O'Higgins;;Director/a Servicio de Salud;OHiggins
I 64;;S;I;Salud;Servicio de Salud Maule;;Director/a Servicio de Salud;Maule
I 65;;S;I;Salud;Servicio de Salud Ñuble;;Director/a Servicio de Salud;Ñuble
I 66;;S;I;Salud;Servicio de Salud Concepción;;Director/a Servicio de Salud;Bío Bío
I 67;;S;I;Salud;Servicio de Salud Talcahuano;;Director/a Servicio de Salud;Bío Bío
I 68;;S;I;Salud;Servicio de Salud Bío - Bío;;Director/a Servicio de Salud;Bío Bío
I 69;;S;I;Salud;Servicio de Salud Arauco;;Director/a Servicio de Salud;Bío Bío
I 7;;S;I;Interior y Seguridad Pública;Dirección de Previsión de Carabineros de Chile;;Director/a;Metropolitana
I 70;;S;I;Salud;Servicio de Salud Araucanía Norte;;Director/a Servicio de Salud;Araucanía
I 71;;S;I;Salud;Servicio de Salud Araucanía Sur;;Director/a Servicio de Salud;Araucanía
I 72;;S;I;Salud;Servicio de Salud Valdivia;;Director/a Servicio de Salud;Los Ríos
I 73;;S;I;Salud;Servicio de Salud Osorno;;Director/a Servicio de Salud;Los Lagos
I 74;;S;I;Salud;Servicio de Salud Reloncaví;;Director/a Servicio de Salud;Los Lagos
I 75;;S;I;Salud;Servicio de Salud Aysén;;Director/a Servicio de Salud;Aysén
I 76;;S;I;Salud;Servicio de Salud Magallanes;;Director/a Servicio de Salud;Magallanes
I 77;;S;I;Salud;Superintendencia de Salud;;Superintendente/a;Metropolitana
I 78;;S;I;Vivienda y Urbanismo;Parque Metropolitano;;Director/a;Metropolitana
I 79;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Tarapacá;;Director/a Regional Tarapacá;Tarapacá
I 8;;S;I;Hacienda;Dirección de Compras y Contratación Pública;;Director/a Nacional;Metropolitana
I 80;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Antofagasta;;Director/a Regional Antofagasta;Antofagasta
I 81;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Atacama;;Director/a Regional Atacama;Atacama
I 82;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Coquimbo;;Director/a Regional Coquimbo;Coquimbo
I 83;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región de la Araucanía;;Director/a Regional La Araucanía;Araucanía
I 84;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Metropolitana;;Director/a Regional Metropolitano;Metropolitana
I 85;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Valparaíso;;Director/a Regional Valparaíso;Valparaíso
I 86;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Bdo. OHiggins;;Director/a Regional OHiggins;OHiggins
I 87;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región del Maule;;Director/a Regional  Maule;Maule
I 88;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región del Bío-Bío;;Director/a Regional BíoBío;Bío Bío
I 89;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región de Los Lagos;;Director/a Regional Los Lagos;Los Lagos
I 9;;S;I;Hacienda;Tesorería General de la República;;Tesorero/a General;Metropolitana
I 90;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Aysén;;Director/a Regional Serviu Aysén;Aysén
I 91;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Magallanes;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
I 92;;S;I;Agricultura;Comisión Nacional de Riego;;Secretario/a Ejecutivo/a;Metropolitana
I 93;;S;I;Agricultura;Instituto de Desarrollo Agropecuario;;Director/a Nacional;Metropolitana
I 94;;S;I;Agricultura;Servicio Agrícola y Ganadero;;Director/a Nacional;Metropolitana
I 95;;S;I;Minería;Servicio Nacional de Geología y Minería;;Director/a Nacional;Metropolitana
I 96;;S;I;Energía;Comisión Chilena de Energía Nuclear;;Director/a Ejecutivo/a;Metropolitana
I 97;;S;I;Minería;Comisión Chilena del Cobre;;Vicepresidente/a Ejecutivo/a;Metropolitana
I 98;;S;I;Transportes y Telecomunicaciones;Junta de Aeronáutica Civil;;Secretario/a General;Metropolitana
II 1;;S;II;Interior y Seguridad Pública;Oficina Nacional de Emergencia;;Jefe/a División Función: Protección Civil;Metropolitana
II 10;;S;II;Defensa;Caja de Previsión de la Defensa Nacional;;Gerente/a General;Metropolitana
II 100;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional BíoBío;Bío Bío
II 101;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional La Araucanía;Araucanía
II 102;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Tarapacá;Tarapacá
II 103;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Atacama;Atacama
II 104;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Maule;Maule
II 105;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Los Lagos;Los Lagos
II 106;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Antofagasta;Antofagasta
II 107;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional OHiggins;OHiggins
II 108;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Aysén;Aysén
II 109;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 11;;S;II;Defensa;Caja de Previsión de la Defensa Nacional;;Jefe/a División Función Administración y Finanzas;Metropolitana
II 110;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Subdirector/a Nacional de Pesca;Valparaíso
II 1108;;S;II;Hacienda;Dirección de Compras y Contratación Pública;;Jefe/a de División Estudios e Inteligencia de Negocios;Metropolitana
II 1111;;S;II;Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;;Jefe/a Departamento Desarrollo y Regulación de Mercado;Metropolitana
II 1112;;S;II;Defensa;Caja de Previsión de la Defensa Nacional;;Jefe/a División Función Atención a Usuarios;Metropolitana
II 1113;;S;II;Salud;Superintendencia de Salud;;Jefe/a Departamento de Regiones, Atención de Personas y Participación Ciudadana;Metropolitana
II 1138;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Jefe/a Departamento Jurídico;Metropolitana
II 1139;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Jefe/a Departamento de Salud Escolar;Metropolitana
II 1140;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Jefe/a Departamento de Gestión de Compras y Licitaciones;Metropolitana
II 1148;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Subdirector/a Administrativo/a;Metropolitana
II 1149;;S;II;Obras Públicas;Dirección de Aeropuertos;;Jefe/a División de Infraestructura Aeroportuaria;Metropolitana
II 116;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Tarapacá;Tarapacá
II 117;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional La Araucanía;Araucanía
II 118;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Valparaíso;Valparaíso
II 119;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Coquimbo;Coquimbo
II 120;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Metropolitano;Metropolitana
II 121;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Maule;Maule
II 122;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional BíoBío;Bío Bío
II 123;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Atacama;Atacama
II 124;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Aysén;Aysén
II 125;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Los Lagos;Los Lagos
II 126;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Antofagasta;Antofagasta
II 127;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 128;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Subdirector/a de Desarrollo;Metropolitana
II 129;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Subdirector/a de Marketing;Metropolitana
II 13;;S;II;Defensa;Caja de Previsión de la Defensa Nacional;;Jefe/a División Función Jurídica;Metropolitana
II 131;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Fiscal;Metropolitana
II 132;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Antofagasta;Antofagasta
II 133;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Coquimbo;Coquimbo
II 134;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Valparaíso;Valparaíso
II 135;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional OHiggins;OHiggins
II 136;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional BíoBío;Bío Bío
II 137;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional La Araucanía;Araucanía
II 138;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Tarapacá;Tarapacá
II 139;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Maule;Maule
II 14;;S;II;Defensa;Caja de Previsión de la Defensa Nacional;;Jefe/a de División Función Personal(División Gestión y Desarrollo de Personas);Metropolitana
II 140;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Los Lagos;Los Lagos
II 141;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 142;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Atacama;Atacama
II 143;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Aysén;Aysén
II 144;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Subdirector/a Jurídico/a e Interpretación Administrativa;Metropolitana
II 145;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Tarapacá;Tarapacá
II 146;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Valparaíso;Valparaíso
II 147;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional BíoBío;Bío Bío
II 148;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional La Araucanía;Araucanía
II 149;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Antofagasta;Antofagasta
II 15;;S;II;Defensa;Caja de Previsión de la Defensa Nacional;;Jefe/a División Función Planificación y Desarrollo;Metropolitana
II 150;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Coquimbo;Coquimbo
II 151;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Maule;Maule
II 152;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Aysén;Aysén
II 153;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Atacama;Atacama
II 154;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional OHiggins;OHiggins
II 155;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Los Lagos;Los Lagos
II 156;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 157;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Jefe/a División de Ingeniería;Metropolitana
II 158;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Jefe/a División de Ingeniería de Combustibles;Metropolitana
II 159;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Jefe/a División Jurídica;Metropolitana
II 16;;S;II;Defensa;Caja de Previsión de la Defensa Nacional;;Jefe/a División Función Informática y Computación;Metropolitana
II 160;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Atacama;Atacama
II 161;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 162;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional BíoBío;Bío Bío
II 163;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Antofagasta;Antofagasta
II 164;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Tarapacá;Tarapacá
II 165;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Coquimbo;Coquimbo
II 166;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional OHiggins;OHiggins
II 167;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Maule;Maule
II 168;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Valparaíso;Valparaíso
II 169;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional La Araucanía;Araucanía
II 17;;S;II;Defensa;Caja de Previsión de la Defensa Nacional;;Jefe/a División Función Operaciones;Metropolitana
II 170;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Los Lagos;Los Lagos
II 171;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Aysén;Aysén
II 172;;S;II;Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;;Fiscal;Metropolitana
II 173;;S;II;Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;;Jefe/a Departamento Gestión de Programas;Metropolitana
II 174;;S;II;Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;;Jefe/a Departamento Función: Desarrollo e Innovación;Metropolitana
II 175;;S;II;Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;;Jefe/a Departamento Administración y Finanzas;Metropolitana
II 176;;S;II;Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;;Jefe/a Departamento Función: Personas;Metropolitana
II 18;;S;II;Defensa;Caja de Previsión de la Defensa Nacional;;Director/a Centro de Salud o Rehabilitación;Metropolitana
II 184;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Departamento de Fiscalía y Asesoría Juridica;Metropolitana
II 185;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Departamento Recursos Financieros;Metropolitana
II 186;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Departamento Técnico Pedagógico;Metropolitana
II 187;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Departamento de Calidad y Control Normativo;Metropolitana
II 188;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Metropolitano;Metropolitana
II 189;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Coquimbo;Coquimbo
II 190;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Valparaíso;Valparaíso
II 191;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Maule;Maule
II 192;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional BíoBío;Bío Bío
II 193;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Tarapacá;Tarapacá
II 194;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Antofagasta;Antofagasta
II 195;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Atacama;Atacama
II 196;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional OHiggins;OHiggins
II 197;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional La Araucanía;Araucanía
II 198;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Los Lagos;Los Lagos
II 199;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Aysén;Aysén
II 2;;S;II;Interior y Seguridad Pública;Oficina Nacional de Emergencia;;Jefe/a División Administrativa;Metropolitana
II 200;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 201;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Valparaíso;Valparaíso
II 202;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Metropolitano;Metropolitana
II 203;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional BíoBío;Bío Bío
II 204;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Jefe/a Departamento de Auditoría;Metropolitana
II 206;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Jefe/a Departamento Función Becas;Metropolitana
II 207;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Jefe/a Departamento Función Alimentación Escolar;Metropolitana
II 210;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Tarapacá;Tarapacá
II 211;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Antofagasta;Antofagasta
II 212;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Atacama;Atacama
II 213;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Coquimbo;Coquimbo
II 214;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional OHiggins;OHiggins
II 215;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Maule;Maule
II 216;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional La Araucanía;Araucanía
II 217;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Los Lagos;Los Lagos
II 218;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Aysén;Aysén
II 219;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 22;;S;II;Interior y Seguridad Pública;Dirección de Previsión de Carabineros de Chile;;Fiscal;Metropolitana
II 220;;S;II;Justicia y Derechos Humanos;Defensoría Penal Pública;;Director/a Administrativo/a Nacional;Metropolitana
II 221;;S;II;Justicia y Derechos Humanos;Defensoría Penal Pública;;Jefe/a Unidad de Evaluación, Control y Reclamaciones;Metropolitana
II 222;;S;II;Justicia y Derechos Humanos;Defensoría Penal Pública;;Jefe/a Unidad Departamento Gestión de Personas y Desarrollo Organizacional;Metropolitana
II 223;;S;II;Justicia y Derechos Humanos;Defensoría Penal Pública;;Jefe/a Unidad Estudios y Proyectos;Metropolitana
II 224;;S;II;Justicia y Derechos Humanos;Defensoría Penal Pública;;Jefe/a Unidad de Informática y Estadísticas;Metropolitana
II 225;;S;II;Justicia y Derechos Humanos;Defensoría Penal Pública;;Jefe/a Unidad Administración y Finanzas;Metropolitana
II 226;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Subdirector/a de Estudios y Desarrollo (Informática);Metropolitana
II 227;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Subdirector/a Jurídico;Metropolitana
II 228;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Subdirector/a de Operaciones;Metropolitana
II 229;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Subdirector/a de Administración y Finanzas;Metropolitana
II 23;;S;II;Interior y Seguridad Pública;Dirección de Previsión de Carabineros de Chile;;Administrador/a General;Metropolitana
II 230;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Metropolitano;Metropolitana
II 231;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Valparaíso;Valparaíso
II 232;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional BíoBío;Bío Bío
II 233;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Tarapacá;Tarapacá
II 234;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Antofagasta;Antofagasta
II 235;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Atacama;Atacama
II 236;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Coquimbo;Coquimbo
II 237;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional OHiggins;OHiggins
II 238;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Maule;Maule
II 239;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional La Araucanía;Araucanía
II 24;;S;II;Interior y Seguridad Pública;Dirección de Previsión de Carabineros de Chile;;Contador/a General;Metropolitana
II 240;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Los Lagos;Los Lagos
II 241;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Aysén;Aysén
II 242;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 243;;S;II;Justicia y Derechos Humanos;Servicio Medico Legal;;Subdirector/a Médico/a;Metropolitana
II 244;;S;II;Justicia y Derechos Humanos;Servicio Medico Legal;;Subdirector/a Administrativo/a;Metropolitana
II 245;;S;II;Justicia y Derechos Humanos;Servicio Medico Legal;;Secretario/a Ejecutivo/a Inst. Dr. Carlos Ybar;Metropolitana
II 246;;S;II;Justicia y Derechos Humanos;Servicio Medico Legal;;Director/a Regional Metropolitano;Metropolitana
