Nivel;Adscrito;Ministerio;Servicio;Nombre Cargo;Mes envío nómina;Año Envío Nómina;Fecha Envío Nómina
Nivel I;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Director/a;ene;2005;31-01-2005
Nivel I;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Nacional;mar;2005;18-03-2005
Nivel I;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Secretario/a General;sep;2005;16-09-2005
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Director/a Servicio de Salud;dic;2005;27-12-2005
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Servicio de Salud;dic;2005;27-12-2005
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Arauco;Director/a Servicio de Salud;dic;2005;27-12-2005
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Aysén del General Carlos Ibáñez del Campo;Director/a;oct;2005;18-10-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Jefe/a Departamento Clientes y Entornos;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Director/a Regional Metropolitana;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Tarapacá;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Antofagasta;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Atacama;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Coquimbo;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Director/a Regional Valparaíso;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Director/a Regional Bdo. OHiggins;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Director/a Regional Maule;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Director/a Regional Bío-Bío;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Director/a Regional Araucanía;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Director/a Regional Los Lagos;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Aysén;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Director/a Regional Magallanes y la Antártica Chilena;jun;2005;03-06-2005
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Subdirector/a Jurídico/a;oct;2005;14-10-2005
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Atacama;ago;2005;29-08-2005
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Bío-Bío;ago;2005;29-08-2005
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Araucanía;ago;2005;29-08-2005
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Magallanes y la Antártica Chilena;ago;2005;29-08-2005
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Hospital Carlos Van Buren;nov;2005;10-11-2005
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Hospital Dr. Eduardo Pereira;nov;2005;16-11-2005
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Subdirector/a Administrativo/a Hospital Carlos Van Buren;nov;2005;16-11-2005
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Subdirector/a Administrativo/a Servicio de Salud;nov;2005;16-11-2005
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Subdirector/a Administrativo/a Hospital Dr. Gustavo Fricke;nov;2005;16-11-2005
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División de Control de Frontera;dic;2005;28-12-2005
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Antofagasta;dic;2005;28-12-2005
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Biobío;Director/a Regional Serviu Bío-Bío;mar;2006;13-03-2006
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Director/a Regional Serviu Tarapacá;mar;2006;13-03-2006
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Director/a Nacional;mar;2006;13-03-2006
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Director/a Nacional;ago;2006;22-08-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Servicio de Salud;sep;2006;08-09-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Arica y Parinacota;Director Servicio de Salud;sep;2006;08-09-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;sep;2006;08-09-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Servicio de Salud;oct;2006;23-10-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Aconcagua;Director/a Servicio de Salud;oct;2006;13-10-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Servicio de Salud;oct;2006;24-10-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;ago;2006;16-08-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Director/a Servicio de Salud;oct;2006;24-10-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Talcahuano;Director/a Servicio de Salud;oct;2006;24-10-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Biobío;Director/a Servicio de Salud;ago;2006;16-08-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Norte;Director/a Servicio de Salud;jul;2006;18-07-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Director/a Servicio de Salud;oct;2006;24-10-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Los Ríos;Director/a Servicio de Salud;oct;2006;24-10-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a Servicio de Salud;oct;2006;24-10-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud del Reloncaví;Director/a Servicio de Salud;jul;2006;18-07-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Aysén;Director/a Servicio de Salud;jul;2006;25-07-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Magallanes;Director/a Servicio de Salud;oct;2006;24-10-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Servicio de Salud;ago;2006;10-08-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Director/a Servicio de Salud;ago;2006;10-08-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Servicio de Salud;oct;2006;13-10-2006
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur-Oriente;Director/a Servicio de Salud;oct;2006;13-10-2006
Nivel I;Adscrito;Ministerio de Salud;Superintendencia de Salud;Superintendente/a;jul;2006;27-07-2006
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Nacional;oct;2006;03-10-2006
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Libertador General Bernardo O'Higgins;Director/a Regional Serviu OHiggins;ago;2006;01-08-2006
Nivel I;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional de Prevención y Respuesta ante Desastres;Director/a;oct;2006;24-10-2006
Nivel I;Adscrito;Ministerio de Obras Públicas;Superintendencia de Servicios Sanitarios;Superintendente/a;oct;2006;03-10-2006
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Nacional;sep;2006;12-09-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Subdirector/a Médico/a Servicio de Salud;may;2006;10-05-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Subdirector/a Médico/a Servicio de Salud;may;2006;10-05-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Aconcagua;Director/a Hospital San Juan de Dios de Los Andes;may;2006;10-05-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud del Reloncaví;Director/a Hospital Base de Puerto Montt;abr;2006;21-04-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud del Reloncaví;Subdirector/a Administrativo/a Hospital de Puerto Montt;abr;2006;21-04-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Director/a Hospital Luís Calvo Mackenna;may;2006;10-05-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Director/a Hospital Instituto de Rehabilitación P.A.C;may;2006;10-05-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Subdirector/a Administrativo/a Hospital del Salvador;may;2006;10-05-2006
Nivel II;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Jefe/a Departamento de Operaciones;ene;2006;20-01-2006
Nivel II;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Jefe/a Departamento Finanzas, Administración y Servicios Internos;ene;2006;20-01-2006
Nivel II;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Jefe/a Departamento, Función: Asesoría Jurídica;ene;2006;20-01-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Jefe/a Departamento Auditoría;ene;2006;30-01-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Subdirector/a Administrativo/a Hospital Regional Libertador Bernardo OHiggins;mar;2006;23-03-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Subdirector/a Administrativo/a Servicio de Salud;mar;2006;23-03-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Subdirector/a Administrativo/a Hospital San Borja Arriaran;may;2006;10-05-2006
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Araucanía;ene;2006;25-01-2006
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Coquimbo;ene;2006;25-01-2006
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Valparaíso;ene;2006;25-01-2006
Nivel II;Adscrito;Ministerio de Salud;Superintendencia de Salud;Jefe/a Departamento Función: Fiscalización;ene;2006;30-01-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División Función Gestión Estratégica;mar;2006;02-03-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División Jurídica;mar;2006;06-03-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División Función: Protección Agrícola y Forestal;may;2006;22-05-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División Protección Pecuaria;mar;2006;06-03-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Hospital Psiquiátrico El Salvador;may;2006;10-05-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Jefe/a Departamento Auditoría;mar;2006;23-03-2006
Nivel II;Adscrito;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Jefe/a División Función Convenios Marco;mar;2006;13-03-2006
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Subdirector/a Jurídico/a;feb;2006;13-02-2006
Nivel II;Adscrito;Ministerio de Salud;Superintendencia de Salud;Intendente/a de Fondos y Seguros Previsionales de Salud;may;2006;05-05-2006
Nivel II;Adscrito;Ministerio de Salud;Superintendencia de Salud;Intendente/a de Prestadores de Salud;may;2006;05-05-2006
Nivel II;Adscrito;Ministerio de Salud;Superintendencia de Salud;Jefe/a Departamento Función: Administración y Finanzas;may;2006;05-05-2006
Nivel II;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Jefe/a Departamento Función: Logística;jun;2006;29-06-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Jefe/a Departamento Auditoría;nov;2006;20-11-2006
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Metropolitana;ago;2006;04-08-2006
Nivel II;Adscrito;Ministerio de Hacienda;Unidad de Análisis Financiero;Jefe/a División Función Inteligencia Financiera;abr;2006;25-04-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Hospital Dr. Eduardo Pereira;jun;2006;14-06-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Subdirector/a Administrativo/a Hospital de Talca;sep;2006;29-09-2006
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Valparaíso;ago;2006;04-08-2006
Nivel II;Adscrito;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Jefe/a División de Compras Colaborativas;jun;2006;30-06-2006
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Jefe/a de Departamento de Programas;sep;2006;22-09-2006
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Jefe/a Departamento Función Planificación y Estudios;sep;2006;28-09-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Subdirector/a Administrativo/a Servicio de Salud;sep;2006;29-09-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Subdirector/a Médico/a Servicio de Salud;sep;2006;29-09-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División Protección Pecuaria;ago;2006;29-08-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Director/a Hospital de Castro;oct;2006;30-10-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Norte;Director/a Hospital de Traiguén;oct;2006;26-10-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Valparaíso;nov;2006;20-11-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Subdirector/a Administrativo/a Servicio de Salud;oct;2006;06-10-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Hospital de Quilpué;sep;2006;12-09-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Jefe/a Departamento Auditoría;dic;2006;04-12-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Subdirector/a Médico/a Hospital Carlos Van Buren;oct;2006;26-10-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Subdirector/a Médico/a Hospital Gustavo Fricke;oct;2006;26-10-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Director/a Hospital de Nueva Imperial;nov;2006;20-11-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Director/a Hospital de Pitrufquén;nov;2006;20-11-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Director/a Hospital de Lautaro;nov;2006;20-11-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Hospital de Tocopilla;oct;2006;10-10-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud del Reloncaví;Director/a Hospital Base de Puerto Montt;dic;2006;26-12-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Hospital Traumatológico;oct;2006;25-10-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Aysén;Director/a Hospital de Puerto Aysén;dic;2006;04-12-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Hospital Provincial del Huasco;oct;2006;04-10-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División Función: Subdirección Nacional;sep;2006;28-09-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Arica y Parinacota;dic;2006;15-12-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Atacama;dic;2006;15-12-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Coquimbo;dic;2006;15-12-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Bdo. OHiggins;nov;2006;20-11-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Maule;dic;2006;15-12-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Bío Bío;nov;2006;20-11-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Araucanía;nov;2006;20-11-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Los Lagos;nov;2006;20-11-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Magallanes y la Antártica Chilena;dic;2006;20-12-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Metropolitana;nov;2006;20-11-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe División Subdirección de Operaciones;oct;2006;13-10-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División Función: Recursos Naturales Renovables;oct;2006;11-10-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División Semillas;oct;2006;06-10-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Los Ríos;Director/a de Hospital Base de Valdivia;dic;2006;04-12-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Director/a Hospital Lucio Córdova;oct;2006;23-10-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Jefe/a Departamento Auditoría;nov;2006;07-11-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Hospital de Curacaví;nov;2006;07-11-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Subdirector/a Médico/a Servicio de Salud;nov;2006;25-11-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Subdirector/a Administrativo/a Servicio de Salud;nov;2006;21-11-2006
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Jefe/a de Departamento de Operaciones;sep;2006;22-09-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Jefe/a Departamento Auditoría;oct;2006;30-10-2006
Nivel II;Adscrito;Ministerio de Salud;Superintendencia de Salud;Jefe/a Departamento Función: Gestión de Clientes;nov;2006;24-11-2006
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Jefe/a Departamento Auditoría;dic;2006;04-12-2006
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Coquimbo;dic;2006;26-12-2006
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Aysén;dic;2006;26-12-2006
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Subdirector/a Médico/a;dic;2006;27-12-2006
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Subdirector/a Administrativo/a;dic;2006;27-12-2006
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Secretario/a Ejecutivo/a Inst. Dr. Carlos Ybar;dic;2006;27-12-2006
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División de Control de Frontera;dic;2006;28-12-2006
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Nacional;mar;2007;13-03-2007
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Antofagasta;Director/a Regional Serviu Antofagasta;ene;2007;05-01-2007
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Director/a Regional Serviu Tarapacá;ene;2007;05-01-2007
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Aysén del General Carlos Ibáñez del Campo;Director/a;ene;2007;03-01-2007
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Servicio de Salud;mar;2007;26-03-2007
Nivel I;Adscrito;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Director/a Ejecutivo/a;may;2007;15-05-2007
Nivel I;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de la Discapacidad;Director/a Nacional;may;2007;02-05-2007
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Director/a Regional Serviu Tarapacá;oct;2007;02-10-2007
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Lagos;Director/a Regional Serviu Los Lagos;oct;2007;02-10-2007
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;oct;2007;25-10-2007
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;oct;2007;25-10-2007
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección General de Crédito Prendario;Director/a General;oct;2007;25-10-2007
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Valparaíso;Director/a Regional Serviu Valparaíso;oct;2007;02-10-2007
Nivel I;Adscrito;Ministerio de Energía;Comisión Chilena de Energía Nuclear;Director/a Ejecutivo/a;nov;2007;30-11-2007
Nivel I;Adscrito;Ministerio de Minería;Servicio Nacional de Geología y Minería;Director/a Nacional;dic;2007;05-12-2007
Nivel I;Adscrito;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;Director/a Nacional;oct;2007;29-10-2007
Nivel I;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Tesorero/a General;nov;2007;15-11-2007
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director/a Nacional;dic;2007;28-12-2007
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Maule;Director/a Regional Serviu Maule;nov;2007;02-11-2007
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Servicio de Salud;oct;2007;25-10-2007
Nivel I;Adscrito;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Director/a Ejecutivo/a;oct;2007;02-10-2007
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Jefe/a Departamento Auditoría;ene;2007;10-01-2007
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Subdirector/a Médico/a Servicio de Salud;ene;2007;10-01-2007
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Subdirector/a Administrativo/a Servicio de Salud;feb;2007;09-02-2007
