Año Envío Nómina;N° Concurso;Nivel;Adscrito;Ministerio;Servicio;Nombre Cargo;Fecha Envío Nómina;Fecha Convocatoria;Dias; 
2023;ADP-12624;Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Coquimbo;Director/a Regional Serviu Coquimbo;21-02-2023;04-09-2022;142;
2023;ADP-12522;Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de la Discapacidad;Director/a Regional Magallanes y la Antártica Chilena;02-02-2023;09-10-2022;107;
2023;ADP-17260;Nivel II;Adscrito;Ministerio del Medio Ambiente;Superintendencia del Medio Ambiente;Jefe/a División de Fiscalización;05-06-2023;19-03-2023;71;
2023;ADP-16986;Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Jefe/a Departamento Función: Personas;14-04-2023;22-01-2023;47;
2023;ADP-16399;Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Jefe/a Departamento Administración y Finanzas;24-07-2023;23-04-2023;85;
2023;ADP-5102;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur-Oriente;Director/a de Hospital Padre Alberto Hurtado;06-07-2023;30-04-2023;60;
2023;ADP-16473;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional, Región del Libertador Bernardo O'Higgins;04-07-2023;16-04-2023;72;
2023;ADP-17600;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional, Región de Atacama;04-07-2023;16-04-2023;72;
2023;ADP-12275;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional, Región de Tarapacá;12-01-2023;02-10-2022;95;
2023;ADP-13039;Nivel II;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Metropolitano;Subdirector/a de Operaciones Habitacionales;16-01-2023;02-10-2022;99;
2023;ADP-10238;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Subdirector/a Administrativo/a Servicio de Salud;18-01-2023;30-10-2022;73;
2023;ADP-12992;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Libertador Bernardo OHiggins;09-03-2023;20-11-2022;74;
2023;ADP-12993;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Maule;30-01-2023;25-09-2022;120;
2023;ADP-12996;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Los Ríos;20-06-2023;12-03-2023;93;
2023;ADP-12995;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Araucanía;09-03-2023;20-11-2022;74;
2023;ADP-14791;Nivel II;Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Jefe/a División de Estudios;19-04-2023;15-01-2023;59;
2023;ADP-13524;Nivel II;Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Jefe/a División de Evaluación de Logros de Aprendizaje;20-06-2023;09-04-2023;65;
2023;ADP-11636;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Hospital de Parral;19-05-2023;12-03-2023;61;
2023;ADP-18386;Nivel II;Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Jefe/a de División Evaluación y Orientación de Desempeño;25-07-2023;14-05-2023;65;
2023;ADP-12989;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Coquimbo;28-06-2023;12-03-2023;101;
2023;ADP-15240;Nivel II;Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Jefe/a División de Administración General;14-03-2023;25-12-2022;44;
2023;ADP-15689;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Biobío;Subdirector/a Médico/a Hospital Dr. Victor Ríos de los Ángeles;03-02-2023;11-12-2022;44;
2023;ADP-15538;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Arica y Parinacota;28-04-2023;29-01-2023;54;
2023;ADP-15236;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Tarapacá;28-04-2023;29-01-2023;54;
2023;ADP-15489;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Coquimbo;03-07-2023;19-03-2023;99;
2023;ADP-14047;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Subirector/a Administrativo Hospital Luis Calvo Mackenna;23-06-2023;09-04-2023;68;
2023;ADP-13797;Nivel II;Adscrito;Ministerio de Salud;Fondo Nacional de Salud;Jefe/a de División Contraloría;14-03-2023;27-11-2022;72;
2023;ADP-14524;Nivel II;Adscrito;Otros Organismos;Servicio Electoral;Director/a Regional Ohiggins;22-02-2023;04-12-2022;51;
2023;ADP-16630;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional, Región de Los Ríos;19-07-2023;07-05-2023;66;
2023;ADP-18194;Nivel II;No Adscrito;Administración local;Municipalidad de Navidad;Jefe Departamento de Administración de Educación Municipal;02-06-2023;26-03-2023;61;
2023;ADP-16780;Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a de la Unidad Personas;02-08-2023;05-03-2023;143;
2023;ADP-15490;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Los Lagos;03-05-2023;29-01-2023;59;
2023;ADP-15128;Nivel II;No Adscrito;Administración local;Municipalidad de Longaví;Jefe/a Departamento de Administración de Educación Municipal de Longaví;07-02-2023;27-11-2022;58;
2023;ADP-12384;Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección de Aeropuertos;Jefe/a de División de Infraestructura Aeroportuaria;27-03-2023;15-01-2023;36;
2023;ADP-15315;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Arica y Parinacota;Subdirector/a Administrativo/a Hospital de Arica Dr. Juan Noé Crevani;21-03-2023;08-01-2023;37;
2023;ADP-11872;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a de Hospital San Martín de Quillota;31-05-2023;26-03-2023;59;
2023;ADP-15637;Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección General de Aguas;Jefe/a División Legal;19-04-2023;29-01-2023;45;
2023;ADP-18283;Nivel II;No Adscrito;Administración local;Municipalidad de Yumbel;Jefe/a Departamento de Administración de Educación Municipal de Yumbel;23-06-2023;09-04-2023;68;
2023;ADP-8547;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a de Gestión y Desarrollo de Personas;16-03-2023;27-11-2022;74;
2023;ADP-13184;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a de Atención de Usuarios;08-02-2023;27-11-2022;58;
2023;ADP-9086;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Subdirector/a;08-02-2023;02-10-2022;114;
2023;ADP-15106;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a Regional Arica y Parinacota;19-04-2023;25-12-2022;80;
2023;ADP-15246;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Región de Ñuble;14-04-2023;29-01-2023;40;
2023;ADP-16280;Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección General de Concesiones de Obras Públicas;Jefe/a de División Jurídica;01-08-2023;21-05-2023;65;
2023;ADP-13795;Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección de Vialidad;Subdirector de Mantenimiento;30-06-2023;23-04-2023;61;
2023;ADP-10562;Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección General de Concesiones de Obras Públicas;Jefe/a de División de estudios y Análisis Financiero;10-01-2023;16-10-2022;79;
2023;ADP-13255;Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección General de Concesiones de Obras Públicas;Jefe/a División Administración y Finanzas;24-02-2023;04-12-2022;58;
2023;ADP-12279;Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Director/a Servicio de Salud;07-07-2023;04-12-2022;180;
2023;ADP-13366;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Hospital Psiquiátrico El Salvador;11-05-2023;26-02-2023;67;
2023;ADP-8756;Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Servicio de Salud;17-05-2023;16-10-2022;178;
2023;ADP-7398;Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Servicio de Salud;13-01-2023;14-08-2022;145;
2023;ADP-15651;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Hospital Roberto del Río;25-05-2023;19-03-2023;60;
2023;ADP-12542;Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;24-02-2023;04-09-2022;142;
2023;ADP-12812;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Hospital San José;03-01-2023;30-10-2022;58;
2023;ADP-5483;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Director/a Hospital del Salvador;04-08-2023;28-05-2023;61;
2023;ADP-10012;Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Talcahuano;Director/a Servicio de Salud;24-02-2023;04-09-2022;142;
2023;ADP-8342;Nivel I;Adscrito;Ministerio de Salud;Instituto de Salud Pública;Director/a;21-03-2023;23-10-2022;114;
2023;ADP-10242;Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Arauco;Director/a Servicio de Salud;17-05-2023;16-10-2022;178;
2023;ADP-12529;Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Director/a Servicio de Salud;13-01-2023;14-08-2022;145;
2023;ADP-12533;Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;18-01-2023;14-08-2022;150;
2023;ADP-15314;Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Vialidad;Director/a Nacional;04-05-2023;22-01-2023;67;
2023;ADP-15636;Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Obras Portuarias;Director/a Nacional;25-07-2023;19-03-2023;121;
2023;ADP-12514;Nivel I;Adscrito;Ministerio de Salud;Centro de Referencia de Salud de Maipú;Director/a;07-03-2023;25-09-2022;128;
2023;ADP-13171;Nivel I;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Director/a;17-01-2023;21-08-2022;142;
2023;ADP-14054;Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Aeropuertos;Director/a Nacional;07-03-2023;11-09-2022;142;
2023;ADP-12119;Nivel II;No Adscrito;Administración local;Municipalidad de Independencia;Jefe/a Departamento de Administración de Educación Municipal de Independencia;09-02-2023;20-11-2022;65;
2023;ADP-12513;Nivel I;Adscrito;Ministerio de Obras Públicas;Instituto Nacional de Hidráulica;Director/a Ejecutivo/a;21-03-2023;06-11-2022;100;
2023;ADP-12623;Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Contabilidad y Finanzas;Director/a Nacional;07-03-2023;02-10-2022;121;
2023;ADP-14046;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Jefe/a Departamento Auditoría;02-03-2023;27-11-2022;60;
2023;ADP-12531;Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Director/a Servicio de Salud;24-02-2023;04-09-2022;142;
2023;ADP-15908;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Subdirector/a Médico/a Hospital Clínico San Borja Arriarán;05-04-2023;22-01-2023;38;
2023;ADP-13957;Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a Servicio de Salud;17-05-2023;16-10-2022;178;
2023;ADP-12016;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Jefe/a Departamento Auditoría;16-06-2023;09-04-2023;61;
2023;ADP-12112;Nivel II;No Adscrito;Administración local;Municipalidad de Curepto;Jefe/a de Departamento de Administración de Educación Municipal de Curepto;17-05-2023;05-03-2023;66;
2023;ADP-15640;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Superintendencia de Seguridad Social;Intendente/a de Seguridad y Salud en el Trabajo;07-07-2023;16-04-2023;75;
2023;ADP-16786;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud del Reloncaví;Subdirector/a Administrativo/a Servicio de Salud;30-06-2023;23-04-2023;61;
2023;ADP-13947;Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Nacional;10-04-2023;30-10-2022;127;
2023;ADP-15687;Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Nacional;27-04-2023;11-12-2022;102;
2023;ADP-15244;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Tarapacá;08-06-2023;29-01-2023;95;
2023;ADP-15684;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Coquimbo;17-04-2023;25-12-2022;78;
2023;ADP-17816;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur-Oriente;Subdirector/a Administrativo/a Hospital Dr. Sotero del Río;02-06-2023;26-03-2023;61;
2023;ADP-15683;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Atacama;22-06-2023;26-03-2023;81;
2023;ADP-13522;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Jefe/a Departamento Gestión de Beneficios;22-06-2023;19-03-2023;88;
2023;ADP-15452;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a de Hospital Base San José de Osorno;27-02-2023;18-12-2022;37;
2023;ADP-12806;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Director/a Hospital Herminda Martín de Chillán;14-04-2023;22-01-2023;47;
2023;ADP-13249;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Jefe/a Departamento Auditoría;04-08-2023;28-05-2023;61;
2023;ADP-9205;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Subdirector/a Administrativo/a Servicio de Salud;05-06-2023;26-03-2023;64;
2023;ADP-16777;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Hospital Regional de Antofagasta;01-06-2023;26-03-2023;60;
2023;ADP-13954;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Hospital de Calama;26-01-2023;13-11-2022;67;
2023;ADP-13729;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional Los Ríos;08-06-2023;29-01-2023;95;
2023;ADP-15127;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Hospital Dr. Ernesto Torres Galdames de Iquique;23-01-2023;20-11-2022;57;
2023;ADP-12124;Nivel II;No Adscrito;Administración local;Municipalidad de Santiago;Director/a de Educación Municipal de Santiago;29-03-2023;08-01-2023;45;
2023;ADP-18555;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Subdirector/a Médico/a Servicio de Salud;17-07-2023;14-05-2023;57;
2023;ADP-5108;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Hospital de Urgencia Asistencia Pública;07-07-2023;07-05-2023;54;
2023;ADP-16475;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional del Bío-Bío;22-06-2023;26-03-2023;81;
2023;ADP-15540;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a de Hospital de Talagante;19-05-2023;12-03-2023;61;
2023;ADP-12928;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Instituto Traumatológico;13-01-2023;13-11-2022;54;
2023;ADP-12375;Nivel I;Adscrito;Ministerio de Salud;Centro de Referencia de Salud Peñalolén Cordillera Oriente;Director/a;07-03-2023;25-09-2022;128;
2023;ADP-15105;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Jefe/a Departamento Auditoría;07-06-2023;19-03-2023;73;
2023;ADP-15104;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a de Hospital San Juan de Dios de La Serena;24-03-2023;15-01-2023;33;
2023;ADP-13953;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Aysén;28-07-2023;30-04-2023;82;
2023;ADP-10919;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Subdirector/a Administrativo/a Servicio de Salud;25-02-2023;27-11-2022;58;
2023;ADP-14191;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Hospital Antonio Tirado Lanas de Ovalle;03-02-2023;04-12-2022;51;
2023;ADP-13194;Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional de Atacama;14-04-2023;29-01-2023;40;
